% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.771884224e+006 +9.771884224e+006 +9.771960494e+006 +9.771960494e+006 -4.1138e+000 +4.7311e+000 +5.8701e-001 -4.3999e+000 -8.8937e-001 -2.4673e+000 +1.9264e+000 -2.1811e-001 +3.1437e+000 +2.8377e+000 -9.0864e+000 -1.9508e+000 +8.0165e+000 +1.1758e-001 +2.8268e+000 +6.6332e+000 -1.0850e+000 -8.8790e+000 -7.1741e+000 -2.2796e+000
3 +3.767918762e+006 +3.767918762e+006 +3.767995032e+006 +3.767995032e+006 -1.3855e+000 +1.8164e+000 +5.4431e+000 +2.1645e+000 -4.5098e+000 -3.2665e+000 +4.3659e+000 -1.7092e+000 -1.9127e+000 +1.1858e+001 -2.8894e+000 +4.3579e+000 +4.0203e+000 +5.5420e+000 -3.7053e+000 +4.7869e-001 -3.8783e-001 -9.0923e-001 -4.3108e+000 -2.3942e+000
10 +1.911751431e+006 +1.911751431e+006 +1.911827701e+006 +1.911827701e+006 +4.0589e+000 +3.8832e+000 +2.6246e+000 -1.0223e+001 +3.0594e+000 +1.4333e+000 +2.8773e+000 -1.6062e+000 -1.9651e+000 +2.0623e+000 -7.2421e+000 +4.7215e+000 +8.8960e+000 -6.6046e+000 +1.8238e+000 +5.2900e+000 +3.1588e+000 -3.9159e+000 -6.3796e+000 -3.9518e+000
12 +2.159782497e+005 +2.159782497e+005 +2.160545197e+005 +2.160545197e+005 -2.0298e+000 +4.0150e+000 +1.5655e+000 -1.5910e+000 -1.2387e+000 -1.2980e+000 +2.7335e+000 -1.3095e+000 -1.6894e+000 +2.0445e+000 -4.5874e+000 +3.8696e+000 +5.5774e+000 +5.1488e+000 +3.1628e+000 +5.5205e+000 +2.9822e+000 -3.5061e+000 -4.5400e+000 -6.3058e+000
13 +2.018626374e+005 +2.018626374e+005 +2.019389074e+005 +2.019389074e+005 -3.6534e+000 +3.6236e+000 +2.0961e+000 +3.2335e+000 -1.5467e-001 +1.2743e+000 +3.4545e+000 -2.4211e+000 +2.8589e+000 +6.4308e+000 -3.2817e+000 +3.2487e+000 +6.6133e+000 +5.8846e+000 +7.1198e+000 +7.1847e-001 +2.7397e-001 +6.3552e+000 -3.7954e+000 -7.2637e-001
80 +4.378448044e+004 +4.378448044e+004 +4.386075044e+004 +4.386075044e+004 -4.9665e+000 +1.1693e+000 -1.6917e+000 +2.4797e+000 -2.4545e+000 -4.3625e+000 +3.9678e+000 +3.6996e+000 +6.6155e+000 +8.2287e+000 -3.8007e+000 +1.8006e+000 +1.7707e-001 +4.3009e+000 +1.3995e+000 +3.7649e+000 -1.6613e+000 -2.2312e+000 -1.3034e-001 -4.3972e+000
108 +2.000744661e+004 +2.000744661e+004 +2.008371661e+004 +2.008371661e+004 -4.6521e+000 -1.7810e+000 +1.7031e+000 +4.1652e-001 +1.3142e+000 +2.1237e+000 -2.7837e+000 +7.0741e+000 -2.5641e+000 +3.9346e+000 -3.6588e+000 +1.6096e+000 +2.7874e+000 +8.6673e+000 +4.2381e+000 +6.3753e+000 +8.5086e+000 -7.0076e+000 -6.1240e+000 -6.4649e+000
114 +2.032842761e+003 +2.032842761e+003 +2.109112761e+003 +2.109112761e+003 -3.5027e+000 +4.2594e+000 +3.3602e+000 +4.5698e+000 +2.2013e-001 -4.8535e+000 +8.6638e+000 -6.2503e+000 -5.7568e+000 +4.1709e+000 +8.5399e+000 -3.9169e-001 +1.2315e+001 +4.1525e+000 -5.9679e-001 -2.0615e+000 -1.9443e-002 -2.9370e+000 -1.9296e+000 +2.2714e+000
196 +8.948045869e+002 +8.948045869e+002 +9.710745869e+002 +9.710745869e+002 -3.7102e+000 +1.2502e+000 +3.7347e+000 +2.5460e+000 -1.1253e+000 +5.8377e-002 +2.0763e+000 +5.7802e+000 +6.8008e+000 +6.5933e+000 -3.7028e+000 +4.2148e+000 +1.8465e+000 +4.4658e+000 +2.1519e+000 +6.3253e+000 +1.8324e+000 -1.7008e+001 -6.6319e+000 -1.3700e+000
92392 +1.#INF00000e+000 +8.948045869e+002 +1.#INF00000e+000 +9.710745869e+002 +3.5875e+029 -3.4166e+029 -4.2768e+028 -4.5373e+028 +5.2602e+029 +3.1690e+029 -1.6796e+031 +2.0460e+030 -9.1814e+028 -1.9446e+029 -2.3978e+028 +6.2228e+027 +7.9632e+028 +5.3334e+028 -2.3328e+029 -1.6343e+029 -8.2439e+028 +2.6923e+029 +2.8680e+028 -5.5505e+028
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.161504717e+007 +2.161504717e+007 +2.161502462e+007 +2.161502462e+007 -2.9610e+000 -1.7296e+000 -3.2757e+000 -6.0795e+000 +3.6101e+000 -2.0522e+000 +4.5971e+000 -3.8559e+000 -5.3302e+000 -4.5951e+000 -9.9235e+000 -6.3708e+000 +1.9187e+000 -5.3684e+000 -2.3878e+000 -2.4056e+000 -2.9564e+000 +4.5770e+000 -1.9885e+000 -7.1953e+000
3 +1.827855023e+007 +1.827855023e+007 +1.827852768e+007 +1.827852768e+007 -1.1656e+001 -5.9397e+000 -2.9217e+000 -1.4052e+000 +6.2531e-001 -3.8633e+000 +3.2323e+000 -3.2807e+000 -5.9895e+000 -6.5114e+000 -4.4452e-001 -2.1488e+000 +2.7308e+000 -4.6034e+000 -8.5466e-001 -7.3293e+000 -6.3411e+000 -2.6565e-001 -1.9989e+000 -4.8915e+000
4 +6.804562538e+006 +6.804562538e+006 +6.804539988e+006 +6.804539988e+006 -2.5110e+000 -2.3286e+000 -2.9515e+000 -5.5510e+000 +1.0049e-002 -4.5314e+000 +4.3178e+000 +1.9333e-001 -3.6614e+000 -1.6984e+000 +2.3632e+000 -3.5245e+000 +1.2121e+000 -3.7325e+000 -1.0800e+000 -6.8896e+000 -6.6739e+000 +1.3994e+000 +3.5870e+000 -6.5670e+000
5 +1.569372308e+006 +1.569372308e+006 +1.569349758e+006 +1.569349758e+006 -2.5724e+000 -4.1577e+000 -3.0704e+000 -4.3298e+000 +1.4595e+000 -3.0880e+000 +3.0422e+000 -1.2519e+000 -8.1731e+000 +5.6228e+000 -2.7706e+000 -2.4313e+000 +6.7342e-001 -6.6168e-002 -4.4841e+000 -3.4533e+000 -5.0682e+000 -1.4846e+000 +2.1318e+000 +3.4770e-001
13 +9.541855052e+005 +9.541855052e+005 +9.541629552e+005 +9.541629552e+005 -4.3831e-001 -2.2579e+000 -3.4448e+000 -4.3916e+000 +2.2703e+000 +1.4846e+000 +8.2365e-001 -3.2728e+000 -2.9171e+000 +4.8840e-001 +5.3165e+000 -8.2869e-001 +3.1561e+000 -1.1462e+001 +7.6213e+000 -6.7180e+000 -7.8262e+000 -6.6453e+000 +5.9430e-001 -6.6140e+000
15 +5.605514140e+004 +5.605514140e+004 +5.603259140e+004 +5.603259140e+004 -7.6440e+000 -3.0732e+000 -2.0945e+000 -2.4079e+000 +1.1938e+000 +6.7762e+000 +3.2592e-001 -1.6610e+000 -4.8056e-001 -4.5588e+000 -2.5527e+000 -1.0899e+000 +2.9130e+000 -3.4914e+000 -4.3963e+000 -4.9286e+000 -6.0145e+000 +1.2246e+000 +1.9419e+000 -8.4438e-001
16 +8.696337995e+002 +8.696337995e+002 +8.470837995e+002 +8.470837995e+002 -2.3452e+000 -2.6073e+000 -4.0617e+000 -3.4247e+000 +1.0524e+000 -1.1883e+000 +1.2365e+001 -1.7571e+000 -4.4508e+000 -6.2850e+000 -1.6872e+000 -1.7142e+000 +2.7201e-001 -2.2148e+000 -3.7394e+000 -1.3262e+000 -4.0719e+000 -5.4282e-001 +9.6641e-001 -6.4528e+000
749 +7.726222274e+002 +7.726222274e+002 +7.500722274e+002 +7.500722274e+002 -3.5439e+000 -4.5808e+000 -4.9468e+000 -8.8553e+000 +4.6703e+000 +7.0144e-001 +1.1999e+000 -2.1733e+000 -5.6886e+000 +2.8987e+000 -1.4223e+000 -5.4249e+000 +3.8706e+000 +1.0957e+000 -4.6210e+000 -1.4232e+001 -1.0739e+001 -4.3161e+000 +1.7093e-001 +5.2781e-001
92658 +1.#INF00000e+000 +7.726222274e+002 +1.#INF00000e+000 +7.500722274e+002 -6.3352e+026 -2.8357e+028 -4.7542e+027 +8.9148e+027 +1.3818e+028 +6.7827e+027 -2.6348e+029 -2.2818e+028 -1.3883e+031 +2.5174e+029 +2.2106e+028 +2.2475e+028 -1.4840e+030 -6.3885e+027 -1.7962e+029 +7.2857e+028 -6.9506e+027 -5.2379e+028 -1.1038e+029 -3.5480e+028
% function evaluation | noise-free fitness - Fopt (1.366000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.433183211e+006 +2.433183211e+006 +2.433196871e+006 +2.433196871e+006 +3.3333e+000 -2.2726e-001 -3.2135e+000 +4.6137e-001 +1.4252e+000 +4.4408e+000 +7.2537e+000 +1.5217e+000 +1.4092e+000 -1.7099e+000 +4.9818e+000 +1.8512e+000 +2.5551e+000 +1.0488e+000 -1.3118e+000 -4.9135e+000 -1.2821e+000 -3.7547e+000 -6.1189e-001 +1.4648e+000
6 +1.995802815e+004 +1.995802815e+004 +1.997168815e+004 +1.997168815e+004 +3.5879e+000 -4.4049e+000 -7.5394e+000 +6.3110e-001 +7.4346e+000 +3.3012e+000 +5.9054e+000 +1.6602e+000 +1.5563e+000 +1.3683e+001 +3.1072e+000 +3.0003e-001 +3.6495e+000 +5.2014e+000 -4.1230e+000 -5.1326e+000 -7.2332e+000 -2.7515e+000 +9.6689e-001 +3.9149e+000
