% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.043825289e+006 +2.043825289e+006 +2.043861189e+006 +2.043861189e+006 -3.2118e+000 -4.6428e-001 -6.5246e-001 +3.9711e+000 +1.2818e+001 -6.6535e+000 +4.4921e+000 -3.6641e-001 +5.6484e+000 -3.7957e+000 +1.0796e+001 +1.0827e+000 +7.6489e-001 -1.3752e+000 +6.8923e-001 +3.0049e+000 -1.5686e+000 +5.3333e+000 -7.0672e+000 -4.8093e+000
2 +1.881701422e+006 +1.881701422e+006 +1.881737322e+006 +1.881737322e+006 -2.4126e+000 +1.8138e+000 +1.3496e+000 +5.9330e+000 +3.7114e-001 -4.2914e+000 +3.4445e+000 -1.1718e+000 +4.0275e+000 -1.7778e+000 +4.2376e+000 +2.4947e+000 +1.9246e+000 -9.3529e+000 -6.1125e+000 +5.9443e+000 -3.3281e+000 +5.9665e+000 -4.8708e+000 -4.7287e+000
4 +1.848272721e+006 +1.848272721e+006 +1.848308621e+006 +1.848308621e+006 +6.1177e+000 +3.1397e+000 +3.4906e+000 +3.4573e+000 +7.2126e-001 -3.8111e+000 +7.7459e-001 -4.5043e+000 +3.1043e+000 -2.5267e-002 -3.3613e+000 +4.3286e+000 +3.5744e+000 +2.7109e-001 +1.7739e-001 +8.6889e+000 -5.6007e+000 +4.2132e+000 -5.2044e+000 -6.9197e+000
5 +1.183385508e+006 +1.183385508e+006 +1.183421408e+006 +1.183421408e+006 +7.0327e+000 +4.5599e+000 +2.7294e+000 +3.1317e+000 +7.9490e+000 -5.0077e+000 +3.4007e+000 -8.0447e+000 +2.3782e+000 -4.9347e+000 -1.1641e-001 -1.8582e+000 +2.4727e+000 -1.9175e+000 -6.2539e-001 +3.3678e+000 -3.9345e+000 +4.3836e+000 -5.5740e+000 -4.0198e+000
10 +8.710619781e+005 +8.710619781e+005 +8.710978781e+005 +8.710978781e+005 -1.9763e+000 -6.4957e-001 -5.0210e+000 +7.0109e+000 -4.8628e+000 -3.3595e+000 +6.3375e+000 -3.1395e+000 +1.3995e+000 -5.9408e+000 +4.3257e+000 -1.7844e+000 +3.1822e+000 -7.3870e-001 +3.7726e-002 +1.7971e+000 +4.8176e-002 +3.8764e+000 -5.2609e+000 -4.7306e+000
12 +6.398936385e+005 +6.398936385e+005 +6.399295385e+005 +6.399295385e+005 -6.7364e-001 -2.0858e+000 +1.3207e+000 +3.3998e+000 -6.8078e-002 -2.3551e+000 +3.2310e+000 -6.3474e-001 +7.8535e-001 -1.9667e+000 +2.0857e+000 +1.3826e-001 +4.9547e+000 -3.7795e+000 -2.5238e+000 -2.1752e-001 -1.4266e+000 +4.6572e+000 -5.2024e+000 -6.9346e+000
48 +6.129207047e+005 +6.129207047e+005 +6.129566047e+005 +6.129566047e+005 +1.2589e+000 +6.0268e-001 +2.4551e+000 +1.7347e+000 -3.7669e+000 -4.5003e+000 +5.7393e+000 -1.2445e+000 -8.8791e-001 -8.8824e-001 +3.6155e+000 +1.8871e+000 -4.3034e+000 +5.3024e+000 +3.0893e-001 -1.3302e-001 -4.6205e+000 +4.4017e+000 -5.7119e+000 -2.2955e+000
50 +5.524362773e+005 +5.524362773e+005 +5.524721773e+005 +5.524721773e+005 -1.8969e-001 -1.4745e+000 -8.1411e-001 +2.3926e+000 -2.4129e+000 -1.1279e+000 +6.9202e+000 -2.2625e+000 +1.9239e+000 -5.0092e+000 +2.0369e+000 -2.2662e+000 +2.1737e+000 -1.9170e+000 -1.5155e+000 -5.0959e-001 +2.2723e+000 +4.1774e+000 -1.7168e+000 -4.2874e+000
91 +5.300343566e+005 +5.300343566e+005 +5.300702566e+005 +5.300702566e+005 -2.7311e+000 +9.4484e+000 +4.8659e+000 +3.0978e+000 -4.7116e+000 -1.1548e+000 +2.8348e+000 -2.0008e+000 +9.5410e-001 -4.1660e+000 +3.2535e+000 +1.3504e+000 +3.5131e+000 -2.5366e+000 +3.5000e+000 -6.3005e+000 -3.1985e+000 +5.6635e+000 -2.6020e+000 -3.9311e+000
122 +2.347618871e+005 +2.347618871e+005 +2.347977871e+005 +2.347977871e+005 -4.5949e-001 +2.7932e-001 +5.4128e+000 +2.5197e+000 +1.8460e-001 -4.3817e+000 +1.0511e+000 -4.9838e+000 +1.6154e+000 -4.4179e+000 -5.0847e+000 -1.1652e+000 -1.9963e+000 -2.1900e+000 +1.0298e+000 +1.6531e-001 -2.1976e+000 +6.4908e+000 -2.9562e+000 -1.7049e+000
