% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.496318401e+003 +6.496318401e+003 +6.034228401e+003 +6.034228401e+003 -1.4593e+000 -1.7254e+000 +2.3788e+000 -4.4743e+000 +7.8484e-001 -2.9903e+000 +3.9368e+000 -4.3584e+000 +7.4155e-001 +5.3133e+000 -6.1656e+000 -2.8781e+000 +3.0308e+000 +3.1061e+000 +1.9834e+000 +2.6124e+000 -1.5771e+000 +7.5131e+000 +1.4383e-001 -5.2729e-001
53 +5.709532786e+003 +5.709532786e+003 +5.247442786e+003 +5.247442786e+003 -3.5251e+000 +2.6359e+000 +2.5618e+000 +1.0428e+001 +4.2643e+000 +5.0866e+000 -4.7116e+000 -3.1357e+000 +2.2986e+000 -2.1085e+000 -3.9441e+000 -2.5601e+000 -2.7121e+000 +2.8646e+000 +2.6368e-001 +1.9843e-001 -4.4036e-001 +7.4191e+000 -3.4578e+000 +8.0177e-001
60 +2.912682921e+003 +2.912682921e+003 +2.450592921e+003 +2.450592921e+003 -2.6248e+000 +2.1049e+000 +2.5213e+000 +4.1306e+000 +3.1347e+000 -4.9257e+000 +1.6361e+000 -3.6931e+000 +1.3958e+000 +6.5515e+000 -3.2323e+000 -2.9147e+000 +8.7775e-001 +5.3420e+000 -3.1606e+000 +3.7350e+000 +9.6339e-001 +2.1861e+000 -3.2700e-001 -5.2616e+000
123 +2.634869928e+003 +2.634869928e+003 +2.172779928e+003 +2.172779928e+003 -1.3826e+000 +2.6356e+000 +2.2252e+000 +1.2659e+000 +2.9366e+000 -7.4297e+000 +5.8374e-001 -3.9775e+000 +2.0171e+000 +2.4376e+000 -3.0372e+000 -1.8676e+000 +1.2730e+000 +2.2773e+000 -8.6611e-001 -3.9142e+000 +2.5622e-001 +1.2505e+000 -3.2090e+000 -2.4823e+000
127 +2.271736694e+003 +2.271736694e+003 +1.809646694e+003 +1.809646694e+003 -1.6666e+000 +6.9635e-001 +2.5732e+000 +5.7502e+000 -4.3550e-001 +2.1927e+000 +1.2813e+000 -3.5179e+000 +1.1266e+000 +2.5917e+000 -7.0180e-001 -2.5230e+000 -2.9606e+000 +4.1753e+000 +4.6958e-002 +4.3800e+000 +1.1813e+000 -3.0093e+000 -1.2025e+000 -3.7048e+000
176 +1.477128247e+003 +1.477128247e+003 +1.015038247e+003 +1.015038247e+003 -3.8072e-001 -3.6179e+000 +2.9445e-001 +3.3555e+000 +2.2451e+000 -4.1599e-001 +1.6636e-001 -5.0513e+000 +2.9829e+000 +2.1483e+000 -5.0104e+000 -1.0532e+000 -5.4498e-001 -1.0218e+000 +1.7728e+000 +9.5595e-001 -3.1253e-001 +1.3543e+000 +1.9176e-001 -6.3416e-001
248 +1.154509049e+003 +1.154509049e+003 +6.924190495e+002 +6.924190495e+002 -2.2782e+000 +2.0204e-001 +9.6030e-001 +2.4521e+000 +2.9769e+000 -3.4972e+000 +1.3094e+000 -1.9343e+000 -1.6682e+000 +2.3381e+000 -5.2040e+000 +3.9493e-001 -1.1008e-001 +1.0119e+000 +1.4843e+000 -1.2665e+000 -2.6408e+000 +4.8210e+000 -1.1475e-001 -1.9119e+000
278 +1.081209546e+003 +1.081209546e+003 +6.191195459e+002 +6.191195459e+002 -4.7040e+000 -1.9111e+000 +7.0635e-001 +2.9524e+000 +3.3149e+000 -1.6324e+000 +3.4133e+000 +2.8157e+000 -4.5513e-001 +2.1042e+000 -2.0047e+000 -5.1806e+000 -2.4484e+000 +1.2185e+000 -4.2352e+000 -1.9905e+000 -1.8362e+000 +1.7715e+000 +2.8603e+000 +1.7642e+000
286 +1.054338124e+003 +1.054338124e+003 +5.922481238e+002 +5.922481238e+002 -4.0145e+000 +1.3413e-001 +1.8679e+000 +3.4181e+000 +1.7241e+000 -3.4512e+000 +1.9549e+000 -4.5702e+000 -2.7362e+000 +4.1522e+000 -3.5371e+000 -2.9743e+000 -1.3747e+000 +1.6135e+000 -3.9385e-001 -1.0736e+000 -6.9061e-001 -6.2946e-001 +1.3491e+000 -1.6431e+000
373 +9.794507282e+002 +9.794507282e+002 +5.173607282e+002 +5.173607282e+002 +1.0922e+000 -5.8010e-001 +9.5807e-001 +1.8980e+000 +2.5955e+000 -2.8296e+000 +1.3121e+000 -5.3286e+000 +2.7162e-001 +5.2078e+000 -4.0529e+000 -1.6341e+000 -9.0889e-001 +1.0377e+000 +2.1251e-001 +2.4013e-001 -4.1559e-001 +1.0697e+000 +7.1462e-001 +3.5848e+000
