% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.383053706e+004 +6.383053706e+004 +6.336844706e+004 +6.336844706e+004 +3.9071e+000 -7.8630e+000 +3.1667e+000 -3.3405e+000 -3.4770e+000 +6.2024e+000 +1.4132e+001 -7.7553e+000 +5.2930e+000 +2.1302e+000 +2.7028e+000 +1.4798e+000 -3.0522e+000 -3.7492e+000 -2.7904e+000 +3.1395e+000 -1.0871e+001 +8.9746e-001 +7.1551e+000 +1.7049e+000
3 +5.076224938e+003 +5.076224938e+003 +4.614134938e+003 +4.614134938e+003 +4.1872e+000 -4.8271e+000 +3.6734e+000 -1.9566e+000 +2.0045e+000 +3.1507e+000 +3.8225e+000 -7.6264e+000 -1.5334e+000 +5.6017e+000 +4.4072e+000 +7.1917e+000 -1.7671e+000 -4.5717e+000 -4.2202e+000 +3.6621e+000 -4.2744e+000 +5.4659e-001 +3.3584e+000 +1.7441e+000
18 +3.714456681e+003 +3.714456681e+003 +3.252366681e+003 +3.252366681e+003 +4.4578e+000 -1.1788e+000 +2.3547e+000 -1.8826e-001 -1.8769e+000 +3.2008e+000 +4.7073e+000 -4.6174e+000 +2.9190e+000 +5.0555e+000 -6.8915e-001 +5.1554e+000 -1.4175e+000 +3.8742e-001 -5.9135e+000 +4.0612e+000 -3.2376e+000 -5.7210e-001 +2.8450e+000 +2.2991e+000
99 +2.320710700e+003 +2.320710700e+003 +1.858620700e+003 +1.858620700e+003 +4.2642e+000 -5.7444e+000 -6.0480e+000 -3.8117e+000 -2.8545e+000 +3.7652e+000 +1.5600e+000 -1.4154e+000 +9.2594e-001 +6.3166e+000 +2.8858e+000 +1.1312e+000 -2.6641e+000 -4.5032e+000 -5.0799e+000 +4.5658e+000 -3.6679e+000 +2.7881e+000 +2.9022e+000 -1.5047e+000
146 +1.997896391e+003 +1.997896391e+003 +1.535806391e+003 +1.535806391e+003 +2.9606e+000 -6.5214e+000 +3.5249e+000 +1.1527e+000 +2.2768e-001 +1.3418e+000 +2.2584e+000 -7.8929e-001 +3.8640e-002 -4.7928e-001 +2.9377e+000 +2.5780e+000 -2.5626e+000 -3.5716e+000 -4.8249e+000 +2.7286e+000 -4.3589e+000 +4.7028e-001 -3.9714e-001 -1.8413e+000
162 +1.305604282e+003 +1.305604282e+003 +8.435142815e+002 +8.435142815e+002 +3.8117e+000 -2.7887e+000 +6.2954e-001 +1.0036e+000 -5.0456e+000 +2.5730e+000 +1.9057e-001 -5.0967e+000 +2.6187e+000 +4.5589e+000 +1.4180e-001 +2.7392e-001 -4.2567e+000 -2.5755e+000 -5.9548e-001 +1.7594e+000 -3.4003e+000 +2.1443e+000 +2.2125e+000 +1.8173e+000
216 +1.161948429e+003 +1.161948429e+003 +6.998584292e+002 +6.998584292e+002 +2.0322e+000 -1.3818e+000 +1.0086e+000 -2.6029e+000 -2.3460e+000 +1.8484e+000 +1.3439e+000 -5.3365e+000 +1.7977e+000 +1.9214e+000 +2.2006e+000 +4.6356e-001 -3.0948e+000 -2.3281e+000 -5.3516e+000 +2.5863e+000 -2.8398e+000 +1.9897e+000 +1.0009e+000 +1.7272e+000
393 +9.432407333e+002 +9.432407333e+002 +4.811507333e+002 +4.811507333e+002 +2.4445e+000 -1.5143e+000 +1.8172e+000 -1.7784e+000 +1.9350e+000 +4.2621e+000 +9.5207e-001 -1.7951e+000 +6.0123e-001 +5.2060e+000 -7.0698e-001 -2.0970e+000 -4.0968e+000 -2.4763e+000 -4.3736e+000 +1.3538e+000 -2.8082e+000 +2.4586e-001 +1.3817e+000 +1.3301e+000
602 +9.162808059e+002 +9.162808059e+002 +4.541908059e+002 +4.541908059e+002 -5.2658e-001 -3.7451e+000 +4.0201e-001 +7.4119e-001 -8.8284e-001 +1.0345e+000 -2.7694e-001 -9.4287e-001 -1.4082e+000 +5.1139e+000 +2.7250e+000 +1.4554e+000 -4.7115e+000 -2.4888e+000 -4.2875e+000 +1.4050e+000 -4.0767e-002 +1.5452e+000 +7.2733e-001 +1.7915e+000
638 +7.878821112e+002 +7.878821112e+002 +3.257921112e+002 +3.257921112e+002 +7.4334e-001 -9.2724e-001 +1.6469e+000 -2.5617e+000 -5.0155e-001 -1.4597e+000 -1.2686e+000 +4.8557e-001 -9.3802e-001 +4.5889e+000 +1.6374e+000 -1.7661e+000 -2.3086e+000 -4.0166e+000 -4.1901e+000 +5.1275e-001 -1.5796e+000 +1.4865e+000 +1.6008e+000 +9.5795e-001
704 +7.454549746e+002 +7.454549746e+002 +2.833649746e+002 +2.833649746e+002 -6.1040e-001 -1.7015e+000 +8.8094e-001 -2.6194e-001 -7.6214e-001 +3.5723e+000 +4.7029e-001 -5.1976e-001 -5.3321e-001 +8.0454e-001 +2.8900e-001 -1.1430e+000 -1.4493e+000 -2.0135e+000 -3.5130e+000 +2.1027e+000 -2.3920e+000 +3.3790e+000 +2.8912e+000 +5.8787e-001
809 +6.893157202e+002 +6.893157202e+002 +2.272257202e+002 +2.272257202e+002 +2.4434e+000 -1.4046e+000 +1.0552e+000 -9.6826e-002 -2.1942e-001 +1.5091e+000 -1.5385e+000 -6.7913e-001 +3.8819e-002 +2.6521e+000 +2.2126e+000 -1.1631e-001 -9.9168e-001 -1.2298e+000 -1.8781e+000 +2.2110e+000 -1.3609e+000 +1.9120e+000 +1.5585e+000 +1.2743e+000
909 +6.468632109e+002 +6.468632109e+002 +1.847732109e+002 +1.847732109e+002 -1.4023e+000 -4.6334e+000 -1.1054e+000 +5.0940e+000 +8.1830e-001 -9.0606e-001 -2.9258e-001 +3.4187e-001 -3.1032e-001 +3.8017e+000 +1.9177e+000 +3.3167e-001 -4.8582e-001 -2.5257e+000 -1.2441e+000 +9.0420e-001 -1.6563e+000 +2.8961e+000 +1.7598e+000 +1.7437e+000
920 +5.779897743e+002 +5.779897743e+002 +1.158997743e+002 +1.158997743e+002 +2.3610e-001 -2.2571e+000 +1.0475e+000 -1.9724e+000 +1.6536e-002 +2.7498e+000 +6.6816e-001 +6.3763e-001 -2.0031e+000 +3.0133e+000 +1.9332e+000 -6.0137e-001 -1.6698e+000 -2.6841e+000 -3.3170e+000 -1.2175e+000 -2.2790e+000 +1.9260e+000 +8.3054e-001 +4.1842e-001
1109 +5.582970225e+002 +5.582970225e+002 +9.620702252e+001 +9.620702252e+001 +7.1188e-001 -1.5254e+000 +1.3916e+000 +6.3199e-001 -1.2003e-001 -1.7216e+000 -5.6272e-002 +4.0156e+000 +4.6951e-001 +3.6893e+000 +1.5720e+000 -2.6941e+000 -1.1956e+000 -1.0145e+000 -2.7543e+000 -3.3667e+000 -2.1190e+000 +9.6091e-002 +1.2133e+000 +1.4097e+000
1201 +4.780929981e+002 +4.780929981e+002 +1.600299813e+001 +1.600299813e+001 +1.3012e+000 +2.0106e+000 +1.2903e+000 -2.3535e+000 -4.0580e-001 +1.8468e+000 +2.6971e-001 +1.8419e+000 +3.3732e-001 +2.6561e+000 +1.4121e+000 -1.2790e+000 -1.1355e+000 -1.6130e+000 -4.4293e-001 -9.7631e-001 -2.3174e-001 +2.4476e+000 +1.4904e+000 -4.8168e-001
1283 +4.476857525e+002 +4.476857525e+002 -1.440424751e+001 -1.440424751e+001 -1.0301e+000 -1.6674e+000 +6.1214e-001 -1.4323e+000 -1.0681e+000 +8.6319e-001 +1.4580e+000 +2.1750e+000 -7.9359e-001 +1.7951e+000 +8.5221e-001 -1.3012e+000 -7.1477e-001 -3.0916e+000 -2.1241e-001 -1.0472e+000 -2.3809e+000 +3.6610e+000 +1.6572e+000 +1.3228e+000
1417 +4.278409426e+002 +4.278409426e+002 -3.424905742e+001 -3.424905742e+001 +7.7577e-001 -1.0778e+000 +1.1646e+000 -4.3928e-001 -2.4338e+000 +1.3608e+000 +1.2883e+000 +4.4742e+000 -7.7411e-001 +9.1169e-001 +1.5222e+000 -2.0489e+000 -1.4850e+000 -2.4404e+000 -1.2096e+000 -1.1977e+000 -8.2216e-001 +2.6649e+000 +4.4408e-001 +2.5654e+000
1468 +4.021841825e+002 +4.021841825e+002 -5.990581747e+001 -5.990581747e+001 +1.0707e+000 +1.8208e+000 +1.1630e+000 +2.5004e-001 +8.9607e-001 +1.6507e+000 +1.7382e+000 +1.0177e+000 -2.4260e+000 +1.9426e+000 +9.3251e-001 -5.1586e-001 -5.9463e-001 -2.9557e+000 +5.1671e-001 -1.4812e+000 -7.0874e-002 +3.5194e+000 +1.0082e+000 +1.8017e+000
1490 +3.910529901e+002 +3.910529901e+002 -7.103700990e+001 -7.103700990e+001 -4.0285e-001 -2.3914e+000 +6.0545e-001 +4.6402e-001 +9.2378e-001 +1.3207e+000 +4.0027e-001 +1.9610e+000 +3.1182e-001 +1.9616e+000 +5.4683e-001 -1.1382e+000 -1.0571e+000 -4.2284e+000 -9.7933e-001 -1.0496e+000 -2.0123e+000 +3.3609e+000 +1.5735e+000 +6.6648e-001
1534 +3.668041134e+002 +3.668041134e+002 -9.528588663e+001 -9.528588663e+001 +2.9485e-001 -7.8080e-001 +4.9855e-001 +1.2220e-001 +3.5520e-002 +1.3722e+000 -5.3701e-001 +3.2808e+000 -4.7472e-002 +1.6675e+000 +1.3102e+000 -1.2497e+000 -1.9185e+000 -5.2291e+000 -1.6609e+000 -2.1027e+000 -1.1181e+000 +3.3802e+000 +1.2715e+000 +1.7952e+000
1657 +3.503100280e+002 +3.503100280e+002 -1.117799720e+002 -1.117799720e+002 +8.5138e-001 -4.4309e-001 +4.6344e-001 +1.5107e+000 -8.6005e-001 +4.3549e+000 +2.0564e+000 +2.2000e+000 -1.7979e+000 +1.2386e+000 +1.2744e+000 -1.7957e+000 -9.3640e-001 -2.5957e+000 -1.5779e-001 -1.9427e+000 -1.1861e+000 +4.1428e+000 +1.3574e+000 +2.1636e+000
