% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.104301698e+005 +9.104301698e+005 +9.105793198e+005 +9.105793198e+005 +2.9684e+000 -6.8005e-001 -5.9783e+000 +3.1381e+000 -3.0293e+000 +1.6466e+000 -5.2941e+000 +1.4617e+000 +6.4771e+000 +3.3986e-001 +1.8866e+000 -5.2145e+000 +3.8035e+000 +4.1047e+000 +1.1559e+000 -8.4633e+000 -3.1094e+000 -2.5953e+000 -2.1514e+000 -3.0158e+000
2 +8.260369474e+005 +8.260369474e+005 +8.261860974e+005 +8.261860974e+005 +4.3623e+000 +3.5773e+000 -4.6514e+000 -5.1769e+000 -5.2124e+000 +1.0932e+000 -5.0947e+000 +2.5246e-001 -2.8441e+000 -1.2874e+000 +3.5627e+000 +4.2159e+000 +1.6415e+000 +1.6343e+000 +3.2910e+000 -2.4461e+000 -6.4545e+000 +6.1612e-001 +2.9625e+000 -8.2385e+000
4 +7.089016653e+005 +7.089016653e+005 +7.090508153e+005 +7.090508153e+005 +5.2299e+000 +1.0273e+000 -2.9444e+000 -1.6687e+000 +2.4202e-002 -2.8459e+000 -6.5002e+000 +3.2824e+000 +1.4187e+000 -1.1625e-002 +5.1409e+000 +4.1341e+000 +3.7730e+000 +3.5706e+000 -8.8549e-001 -3.0420e+000 +2.4518e+000 +1.9016e-002 -1.7814e+000 -8.6589e+000
17 +3.610759650e+005 +3.610759650e+005 +3.612251150e+005 +3.612251150e+005 +8.9451e-001 -1.2639e+000 -1.3005e+000 -1.6665e+000 -2.3405e+000 +1.8291e+000 -3.6719e+000 +2.6004e+000 -6.1557e-001 -8.6014e-001 +2.3267e+000 +3.9502e+000 -6.6625e-001 +4.9843e+000 +5.3817e-001 -2.5982e+000 -2.7684e+000 -1.2390e+000 +9.7256e-001 -3.5478e+000
35 +3.338674663e+005 +3.338674663e+005 +3.340166163e+005 +3.340166163e+005 +4.9663e+000 +3.8425e-001 -4.6306e+000 +3.5292e+000 -3.7343e+000 -4.8405e-001 -4.9318e+000 -1.7085e+000 -2.3499e+000 +4.1578e-001 +2.1661e+000 -3.6074e-002 +3.2378e+000 +4.1396e+000 +1.4749e+000 -3.1297e+000 -8.0221e-001 -2.2795e+000 +1.0659e+000 -3.9966e+000
59 +2.865759269e+005 +2.865759269e+005 +2.867250769e+005 +2.867250769e+005 +1.8112e+000 +7.9869e-001 -4.2376e+000 -3.1806e+000 -7.4262e+000 -3.7213e+000 -6.3369e+000 -5.1478e-001 -2.6941e+000 +1.2840e+000 +2.4973e+000 -4.4202e-001 -2.5106e+000 +3.0738e+000 +3.2426e-001 -3.1520e+000 +7.2346e-001 +7.9157e-001 +4.5892e-001 -5.3908e+000
62 +2.132748243e+005 +2.132748243e+005 +2.134239743e+005 +2.134239743e+005 +2.5166e+000 +3.9965e-001 -2.3249e+000 -1.8829e+000 -3.1991e+000 -6.0709e-001 -4.5958e+000 +7.1711e-001 +5.3116e-001 +4.7753e-001 +2.5374e+000 +5.1917e+000 -8.9975e-001 -1.1661e+000 +2.4785e+000 -7.3227e-004 +2.7050e-001 +4.0621e-001 -2.0533e+000 -3.8464e+000
212 +1.271738974e+005 +1.271738974e+005 +1.273230474e+005 +1.273230474e+005 +1.8706e+000 +5.3622e-001 -3.4024e+000 -3.1287e-002 -5.7239e+000 -2.4795e+000 -4.0838e+000 -1.7787e+000 -3.1410e+000 +1.9549e+000 +1.3172e+000 +1.8018e+000 +2.9861e+000 +2.6692e+000 +2.2029e+000 -3.2515e+000 -3.3515e+000 +6.3423e-001 +1.4151e+000 -3.7320e+000
254 +1.037415962e+005 +1.037415962e+005 +1.038907462e+005 +1.038907462e+005 -3.4635e-001 -2.3829e+000 -2.1220e+000 -2.6057e+000 -4.0203e+000 -3.3335e+000 -3.7772e+000 +6.7284e-001 -3.2513e+000 +2.3215e+000 -1.7217e+000 +1.8212e+000 +8.9393e-001 +2.8820e+000 -1.6643e+000 -4.1697e+000 -2.3127e+000 +3.4980e+000 -1.0875e+000 -4.4253e-001
262 +8.522052164e+004 +8.522052164e+004 +8.536967164e+004 +8.536967164e+004 +6.2839e-001 -6.8478e-001 -2.4828e+000 -2.3622e+000 -5.2819e+000 +1.5368e+000 -3.9070e+000 +2.0274e+000 -1.1954e+000 -5.6359e-001 -5.3287e+000 +2.3357e+000 +3.1201e+000 -1.6964e+000 -5.0541e-001 -1.9330e+000 +9.7734e-001 -2.7227e+000 -1.8718e+000 -1.0654e+000
