% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.883589475e+001 +2.883589475e+001 +3.570589475e+001 +3.570589475e+001 +7.8068e-001 -1.4377e+000 -1.7644e+000 +2.5413e+000 -7.9557e-001 +3.4803e+000 -2.0534e-001 +4.1318e-001 +3.5919e+000 -6.3247e+000 +3.5600e+000 -4.8424e+000 -1.4721e-001 +2.9279e+000 -1.8142e+000 -3.8012e-001 +8.2885e+000 +3.0915e+000 -2.8690e+000 -5.0505e+000
3 +1.979691038e+001 +1.979691038e+001 +2.666691038e+001 +2.666691038e+001 +3.3213e+000 +5.4300e+000 -2.3738e+000 +5.8774e+000 -3.4294e+000 +1.9685e+000 +1.2569e+000 +1.1060e+000 +4.5606e+000 -1.8479e+000 +4.2161e+000 +7.5326e+000 -3.6462e+000 -1.2912e-001 -3.9197e+000 +3.1106e-001 -2.1904e+000 -1.2967e+000 -5.6255e+000 -5.6292e+000
5 +1.709971116e+001 +1.709971116e+001 +2.396971116e+001 +2.396971116e+001 +4.1600e+000 +1.3232e+000 -7.0631e+000 +4.1530e+000 +1.8619e-001 +3.5959e+000 -2.7678e+000 +2.8610e+000 +4.0427e+000 -2.0519e+000 +1.6422e+000 -2.5650e+000 +1.2339e-001 +3.8193e-001 -1.9655e+000 +1.3397e+000 +8.0688e-001 +2.0212e+000 +1.0386e+000 -2.0679e+000
6 +1.341442274e+001 +1.341442274e+001 +2.028442274e+001 +2.028442274e+001 +1.1469e+000 -1.8940e+000 -8.0649e-001 +1.3280e+000 -4.0385e+000 +2.6236e-001 +6.8266e+000 -2.0790e+000 -6.9473e+000 -3.6326e+000 +1.7488e+000 +1.1242e+000 -2.5264e+000 -5.2697e-001 -1.8787e+000 -5.2242e+000 +4.0732e+000 +2.3458e-001 +1.3130e+000 -3.3032e+000
33 +4.985658093e+000 +4.985658093e+000 +1.185565809e+001 +1.185565809e+001 +4.5637e+000 -5.7190e-001 +3.8628e+000 +2.5448e+000 -4.1724e+000 +3.8555e+000 -9.9493e-001 -4.4147e-001 +5.4887e+000 -2.4645e+000 +5.3872e+000 +3.2946e+000 -5.5132e+000 -6.2151e-001 -8.0874e-001 -6.8221e-001 +4.0402e+000 +1.4478e+000 -5.3595e+000 -4.0726e+000
1465 +4.722787479e+000 +4.722787479e+000 +1.159278748e+001 +1.159278748e+001 +3.1190e+000 -2.1652e+000 -1.4949e+000 -1.9381e+000 -1.3918e-001 +3.6314e-001 -1.9640e-001 -2.5681e+000 +1.3820e+000 +7.5773e-001 -8.6969e-001 -4.2417e+000 -1.1478e-001 +2.4709e+000 -6.1199e-001 -1.6007e+000 -1.5016e+000 +4.8973e-001 -4.9429e+000 +2.0632e+000
1861 +3.550673446e+000 +3.550673446e+000 +1.042067345e+001 +1.042067345e+001 +2.0800e+000 +1.0988e+000 -4.0245e-001 -2.3306e+000 +1.1170e+000 +1.6940e+000 -1.4431e+000 -7.7090e-001 +1.2044e+000 +1.1699e-001 -4.2624e+000 +1.1225e-001 +1.2233e+000 +1.5331e+000 +4.5173e-001 -5.3607e+000 -1.8777e-001 +1.1810e-001 -1.4968e+000 +1.5771e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e-002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.398348781e+001 +2.398348781e+001 +2.399348781e+001 +2.399348781e+001 -2.3861e+000 +2.5599e+000 +2.3256e+000 -5.7423e+000 -7.0248e+000 -4.7950e-001 +1.4616e+000 -5.2216e-001 +3.6319e+000 -2.6662e+000 +6.6247e-001 -3.9720e+000 -6.9220e+000 +2.3135e+000 +4.9167e+000 +4.6041e+000 -3.5314e+000 +8.4340e-001 -9.3172e-001 +3.9896e+000
3 +1.996118285e+001 +1.996118285e+001 +1.997118285e+001 +1.997118285e+001 -5.6194e+000 -6.2458e-003 +3.2091e+000 -4.7367e+000 -5.7808e+000 -8.1033e-001 -3.8767e+000 -4.5746e+000 +1.4907e+000 -3.0394e+000 +2.6505e+000 -2.1563e+000 +3.8522e-002 +3.6310e+000 +6.2664e+000 +3.4686e+000 -2.0622e-001 +4.1476e+000 -5.2562e+000 +2.6585e+000
