% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.549483130e+004 +3.549483130e+004 +3.503274130e+004 +3.503274130e+004 -1.8242e-002 -3.5477e+000 -4.8693e-001 -4.0571e+000 +4.3824e+000 +7.5027e+000 +1.2902e+000 -3.5969e-001 -5.0506e-001 -1.8983e+001 +8.2925e+000 +7.4394e+000 -4.4708e+000 -4.6492e+000 -6.7270e-002 +3.2869e+000 +7.2827e-001 +3.1404e+000 -3.1183e+000 +3.2197e+000
4 +1.318996263e+004 +1.318996263e+004 +1.272787263e+004 +1.272787263e+004 +4.9326e+000 -3.0281e+000 +1.9360e+000 +1.1009e+000 -6.1239e+000 +1.1431e+000 +1.3717e+000 +5.0639e-001 -2.6553e+000 +4.5927e+000 +4.0328e+000 +2.7386e+000 +4.2617e+000 +2.4828e+000 -4.4327e-001 +5.5998e+000 -2.3142e+000 +3.8196e+000 -8.9158e+000 +2.6781e+000
8 +1.062664109e+004 +1.062664109e+004 +1.016455109e+004 +1.016455109e+004 +1.7119e+000 -5.1215e-001 -6.3399e-001 -6.0478e-001 -2.4568e+000 +4.4522e+000 -2.0738e+000 -4.9899e-001 -2.5877e-001 +1.8020e+000 +7.0692e+000 +6.2475e+000 +3.4872e-001 -4.4591e+000 +1.9423e+000 +7.8571e+000 -6.3107e+000 +5.0506e+000 -5.6936e+000 +2.5102e+000
9 +9.090510591e+003 +9.090510591e+003 +8.628420591e+003 +8.628420591e+003 +3.4688e+000 -7.3225e-001 +3.7916e+000 -7.2858e-001 +6.6258e+000 +8.3681e-001 -2.8977e+000 +5.8067e-001 -3.3656e-003 +3.8728e+000 +5.2334e+000 +4.2808e+000 +2.2386e+000 -2.3094e+000 -8.0129e-001 +1.4769e+000 -5.6196e-001 +2.4137e+000 -2.4530e+000 +3.7291e+000
11 +6.101187646e+003 +6.101187646e+003 +5.639097646e+003 +5.639097646e+003 +1.6411e+000 -3.2017e+000 +9.5377e-001 +2.0619e+000 +2.9688e+000 +1.5319e+000 +1.3172e+000 -2.1585e+000 -7.6802e+000 -2.0637e-001 +2.9380e+000 +3.2325e+000 +2.3277e+000 -3.2955e+000 -7.4488e+000 +2.4103e+000 -8.7427e-001 +2.5277e+000 -3.5392e+000 -5.9512e+000
21 +5.894746235e+003 +5.894746235e+003 +5.432656235e+003 +5.432656235e+003 -4.1365e-001 -4.2029e+000 -1.0684e+000 +1.1971e+000 +2.7764e+000 +3.0234e+000 -1.0755e+000 -1.1189e+000 -2.0853e+000 +9.5281e-001 +3.9986e+000 +5.7839e+000 +3.0368e+000 -2.0622e+000 -8.8937e-001 +1.7181e+000 +4.9737e-001 +2.8806e+000 -5.7568e+000 +9.7805e-001
31 +4.048215545e+003 +4.048215545e+003 +3.586125545e+003 +3.586125545e+003 +3.5857e+000 -1.3612e+000 -7.8971e-001 -8.1319e-001 +2.7547e+000 -1.0771e+000 -2.4201e+000 -1.0025e+000 -7.0168e-001 +4.6364e+000 +2.8022e+000 +3.7219e+000 +8.5006e-003 +3.2879e-001 -2.7197e+000 +4.1081e+000 +2.1834e+000 -2.2946e-001 -4.9283e+000 +2.6896e+000
54 +1.548710366e+003 +1.548710366e+003 +1.086620366e+003 +1.086620366e+003 +2.7794e+000 -5.5876e+000 -1.7285e+000 -3.0066e+000 +3.0036e+000 +2.3581e+000 +1.5902e+000 -3.8834e+000 +4.8034e-001 +4.4693e-001 +3.2955e+000 +5.9902e+000 -3.4936e-001 +3.9136e-001 -7.5939e-001 +2.7319e+000 -1.1105e+000 +2.9219e+000 -5.8256e-001 +5.3207e-001
221 +1.327186951e+003 +1.327186951e+003 +8.650969514e+002 +8.650969514e+002 +1.5096e+000 -2.5743e+000 +7.0975e-001 +5.9813e-001 +3.1035e+000 +2.0500e+000 -1.0709e+000 -5.7309e+000 -1.1607e+000 +6.3737e-001 +2.4325e+000 +4.3245e+000 +4.6652e-001 -1.5953e+000 -2.0005e+000 +7.5335e-001 -1.5295e+000 +2.3212e+000 -2.3935e+000 -4.8241e-002
375 +1.168808415e+003 +1.168808415e+003 +7.067184151e+002 +7.067184151e+002 +1.7496e+000 +2.0178e+000 +9.4677e-001 +1.6053e+000 +8.7929e-001 +1.2066e+000 -2.1044e+000 -3.6785e-001 -2.7728e+000 +9.0558e-001 +5.7342e-001 +4.1496e+000 -9.6982e-001 -2.7220e-001 -2.3708e+000 +1.6563e+000 -2.8290e+000 +1.2536e+000 -7.1412e-001 -3.3767e-001
