% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.079569460e+003 +2.079569460e+003 +2.172509460e+003 +2.172509460e+003 +8.6164e-001 -4.7671e+000 +6.9413e-001 +4.5312e+000 -1.5222e+000 +9.2763e-002 -3.1805e+000 -2.0678e+000 -6.4762e-001 +2.9921e+000 +2.4011e+000 +2.5334e+000 +2.8478e+000 +3.0342e-001 +1.6811e+000 +1.7421e+000 +1.6482e+000 +3.8490e+000 +4.2131e+000 -3.1865e+000
125 +1.980271468e+003 +1.980271468e+003 +2.073211468e+003 +2.073211468e+003 -3.5937e-001 -4.6347e+000 +4.0636e-001 +4.1461e+000 -1.1614e+000 -8.9502e-001 -1.3738e+000 -3.0110e+000 +1.2370e-001 +2.9027e+000 +4.3399e+000 +1.9838e+000 +3.1916e+000 +8.8949e-001 +2.6172e+000 +1.1945e+000 +1.8309e+000 +2.6923e+000 +4.4835e+000 -5.0374e+000
132 +1.755032251e+003 +1.755032251e+003 +1.847972251e+003 +1.847972251e+003 +2.6375e+000 -4.8142e+000 +1.2497e+000 +3.7891e+000 -2.5318e-001 -1.5964e+000 -2.6569e-001 -3.5845e+000 +2.3767e+000 +2.5881e+000 +4.5770e+000 +1.0352e+000 +3.4225e+000 -3.7876e+000 +2.2555e+000 +2.5667e-001 -3.2729e-001 +2.8059e+000 +4.4961e+000 -3.3565e+000
212 +1.644694729e+003 +1.644694729e+003 +1.737634729e+003 +1.737634729e+003 +1.6195e+000 -2.3771e+000 +7.1362e-001 +4.3496e+000 -8.3855e-001 -5.4310e-001 -4.5744e+000 -1.7152e+000 +1.2205e+000 +1.6216e+000 +4.5699e+000 +9.4755e-001 +3.1154e+000 +6.4052e-001 +2.3400e+000 +1.7053e+000 +2.6895e+000 +2.3725e+000 +3.6530e+000 -4.0731e+000
226 +1.589028517e+003 +1.589028517e+003 +1.681968517e+003 +1.681968517e+003 +1.9644e+000 -5.0048e+000 +8.9503e-001 +5.0084e+000 -1.9051e-001 -1.0679e+000 +8.5156e-001 -3.3642e+000 +8.1795e-001 +2.2979e+000 +3.9495e+000 +4.7214e-001 +4.8159e+000 +4.3360e-001 +1.1539e+000 +1.8492e+000 +2.5435e+000 +3.0589e+000 +5.1371e+000 -4.2803e+000
234 +1.545240595e+003 +1.545240595e+003 +1.638180595e+003 +1.638180595e+003 +2.9779e+000 -1.9770e+000 +7.9533e-001 +2.9653e+000 -1.6104e-001 -6.9775e-001 -3.9500e+000 -3.8197e+000 +1.9506e+000 +2.5061e+000 +4.4866e+000 +3.2148e-001 +3.9582e+000 -2.6840e-001 +2.2820e+000 +2.5871e+000 +1.1970e+000 +2.6804e+000 +6.6536e+000 -4.0125e+000
264 +1.483326187e+003 +1.483326187e+003 +1.576266187e+003 +1.576266187e+003 +2.6430e+000 -2.5282e+000 +4.0669e-001 +3.1323e+000 -7.1068e-001 -1.1209e+000 -4.0007e+000 -2.3417e+000 +3.8828e+000 +1.9843e+000 +4.4577e+000 +3.8370e-001 +3.4086e+000 -5.3084e-001 +1.4253e+000 +8.4392e-001 -4.5570e-001 -1.1192e+000 +2.8589e+000 -3.8527e+000
310 +1.321688670e+003 +1.321688670e+003 +1.414628670e+003 +1.414628670e+003 +6.4486e-001 -4.7880e+000 +1.2175e+000 +4.3894e+000 -6.0855e-001 -2.0039e-001 -3.0543e+000 -3.2556e+000 +1.3313e+000 +2.6094e+000 +4.3402e+000 +5.6285e-002 +3.9404e+000 +9.1988e-001 +9.3952e-001 +2.1692e+000 +1.6179e+000 +1.9451e+000 +4.5633e+000 -3.9682e+000
316 +1.263131762e+003 +1.263131762e+003 +1.356071762e+003 +1.356071762e+003 +1.6997e+000 -3.8656e+000 +8.3995e-001 +4.0101e+000 -8.8435e-001 +9.7034e-001 -2.0922e+000 -2.8081e+000 +3.1076e+000 +2.7313e+000 +3.8414e+000 +5.7078e-001 +5.8164e+000 -4.2332e-001 +2.1580e+000 +1.7125e+000 +2.3039e+000 +2.0834e+000 +4.9722e+000 -4.1297e+000
351 +1.209972204e+003 +1.209972204e+003 +1.302912204e+003 +1.302912204e+003 +2.0423e+000 -4.7076e+000 +9.0730e-001 +3.8871e+000 -1.0215e+000 -5.8601e-001 -2.6243e+000 -2.5123e+000 +8.6344e-001 +2.0017e+000 +3.6796e+000 -3.1830e-001 +2.5885e+000 -1.8720e-001 +1.7830e+000 +1.6537e+000 +2.1767e+000 +1.9148e+000 +4.7371e+000 -4.5245e+000
374 +9.823868694e+002 +9.823868694e+002 +1.075326869e+003 +1.075326869e+003 +1.1899e+000 -3.5750e+000 +1.0329e+000 +3.6173e+000 -3.1478e-001 +3.9399e-001 -4.8466e+000 -3.0468e+000 +1.5979e+000 +2.6299e+000 +3.5224e+000 -1.9323e+000 +3.2578e+000 +1.0668e-001 +2.6954e+000 +2.1817e+000 +2.9731e+000 +2.2225e+000 +4.3936e+000 -5.2856e+000
416 +9.255619483e+002 +9.255619483e+002 +1.018501948e+003 +1.018501948e+003 -9.1068e-001 -4.3710e+000 +1.0327e+000 +4.0821e+000 +6.1252e-001 +2.1886e-001 -2.9185e+000 -2.0785e+000 +2.6864e+000 +2.3729e+000 +2.9899e+000 -3.2244e-001 +4.6778e+000 +3.9026e-002 +1.4691e+000 +1.5687e+000 +2.2753e+000 +1.9856e+000 +4.8332e+000 -4.2138e+000
506 +8.612333240e+002 +8.612333240e+002 +9.541733240e+002 +9.541733240e+002 +1.8764e+000 -4.1800e+000 +9.5025e-001 +6.3505e+000 +7.0075e-001 +2.8000e+000 -2.9795e+000 -2.6417e+000 +3.3910e+000 +3.2413e+000 +4.0487e+000 -2.3022e-001 +3.2753e+000 -3.9460e-001 +1.9401e+000 -6.4382e-001 +4.1866e+000 +1.0477e+000 +3.2055e+000 -4.0813e+000
541 +8.262666966e+002 +8.262666966e+002 +9.192066966e+002 +9.192066966e+002 -1.9506e+000 -4.2614e+000 -1.5730e-001 +4.2286e+000 -3.3830e-001 +4.0266e-001 -2.3487e+000 -2.7632e+000 +3.8925e+000 +3.1034e+000 +2.7203e+000 -2.2290e-002 +3.1735e+000 +4.5735e-001 +3.3696e+000 +1.0273e+000 +2.5960e+000 +6.2231e-001 +4.3555e+000 -3.4418e+000
543 +7.991125257e+002 +7.991125257e+002 +8.920525257e+002 +8.920525257e+002 +7.8205e-001 -4.5269e+000 +1.2182e+000 +5.1637e+000 -1.6022e-002 +2.1555e+000 -8.5652e+000 -3.4984e+000 +4.0251e+000 +2.8380e+000 +3.4530e+000 -1.0724e-001 -6.3990e-001 -6.6914e-001 +2.0487e+000 +1.4730e+000 +2.4948e+000 +1.6372e+000 +2.7337e+000 -3.7594e+000
