% function evaluation | noise-free fitness - Fopt (7.627000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.593255024e+005 +2.593255024e+005 +2.594017724e+005 +2.594017724e+005 +2.3425e+000 +1.3690e+000 -1.6573e+000 -2.2783e+000 +3.4533e+000 +8.1966e+000 -1.7844e+000 -7.0354e-001 -4.4840e+000 +6.3201e+000 -3.2566e+000 +1.8053e+000 -4.5560e+000 -8.0669e-001 -2.8188e+000 +5.4881e-002 -5.2559e+000 +5.8546e+000 +4.6696e+000 -5.6585e-001
6 +1.212407383e+004 +1.212407383e+004 +1.220034383e+004 +1.220034383e+004 +2.9026e+000 +8.9805e-001 +6.2737e-001 +2.7820e-001 +4.3741e-002 +2.5387e+000 -9.7633e-001 +5.7135e-001 -3.1039e+000 +3.2110e-001 +8.4926e-001 +5.6887e+000 -5.1372e+000 -1.3566e+000 -5.4132e+000 -9.2894e-001 -6.4927e+000 +1.1823e+000 -1.4213e-001 +3.8690e+000
14 +4.351833378e+002 +4.351833378e+002 +5.114533378e+002 +5.114533378e+002 -8.5085e-001 -5.6715e-001 -2.3439e+000 -2.0175e+000 +7.8416e+000 +1.8150e+000 -5.2520e-001 -6.0347e+000 -4.6442e+000 +5.5708e+000 -1.2647e+000 +2.8728e+000 -1.3839e-001 -2.5335e+000 +1.1057e+000 -3.7028e+000 -4.2537e+000 +2.8040e+000 -2.7576e-001 -1.8055e+000
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.564255485e+005 +2.564255485e+005 +2.564029985e+005 +2.564029985e+005 +5.8640e+000 -3.7762e+000 -3.5264e+000 -5.5794e+000 -4.0188e-001 +1.7646e+000 +4.6961e+000 -1.0452e-003 +2.1930e-002 +2.5553e+000 +4.6386e+000 +2.0186e+000 -3.0286e+000 +2.8912e-001 -3.3134e+000 -3.6276e+000 +3.6443e-001 +2.8186e+000 -4.2147e+000 +1.8678e-001
7 +3.542787642e+003 +3.542787642e+003 +3.520237642e+003 +3.520237642e+003 +9.2646e+000 -8.8937e-001 -3.7222e+000 -6.6723e+000 +6.1339e-001 +6.5023e-001 +4.0217e+000 -1.0041e+001 -9.0828e+000 -9.9040e-001 +1.1025e+001 +2.4743e+001 -7.4514e+000 -3.1283e+000 +7.5291e-001 -2.0462e+000 -4.3727e-001 +2.3574e+000 -3.0066e+000 +2.3287e+000
42 +6.226185430e+002 +6.226185430e+002 +6.000685430e+002 +6.000685430e+002 +5.6157e+000 -3.8821e+000 +2.7992e+000 -5.0737e+000 -2.7309e-002 +1.3709e+000 +9.4408e+000 -3.9982e+000 +1.4310e+000 +6.9524e+000 +5.9156e+000 +7.4825e-001 -3.3667e+000 +2.5728e+000 +2.7889e+000 -8.3011e+000 -3.8414e+000 +3.9731e+000 -7.5040e+000 +4.5525e-001
74 +4.083321845e+002 +4.083321845e+002 +3.857821845e+002 +3.857821845e+002 +4.6868e+000 -5.7288e+000 +2.9650e+000 -7.5577e-001 -2.0987e+000 -1.9836e+000 +1.1708e+000 -4.1623e+000 +3.8834e+000 +1.3860e+000 +3.3114e+000 +3.3238e+000 +2.1898e-001 +1.8295e+000 +2.4166e+000 -3.6431e+000 +2.4430e-001 +1.6700e+000 -2.7352e+000 -3.5639e+000
79 +3.333953562e+002 +3.333953562e+002 +3.108453562e+002 +3.108453562e+002 +4.4682e+000 -2.4576e+000 -3.0123e+000 +3.1943e+000 -1.1659e+000 +1.5286e+000 +4.9346e+000 +8.3861e-001 -2.3735e+000 +5.3282e-001 -5.3599e+000 +5.3747e-001 -1.1050e+000 -1.9804e-001 +1.2612e-001 -4.1015e+000 +9.1869e-001 -6.7388e-002 -3.3192e+000 -3.7627e-001
188 +3.055026624e+002 +3.055026624e+002 +2.829526624e+002 +2.829526624e+002 +4.1764e+000 -1.5717e+000 -6.0013e-001 -1.5076e+000 -9.2673e-001 +1.2544e+000 +4.8148e+000 -5.2342e+000 +6.7687e-001 -3.5921e+000 -2.1547e+000 +9.6456e+000 -1.7287e+000 -3.6445e+000 +5.5130e-001 -5.7557e+000 +1.6331e-001 -4.3393e-001 +2.8718e+000 +5.6674e+000
