% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.146771907e+002 +4.146771907e+002 +4.054671907e+002 +4.054671907e+002 +2.1828e+000 +4.7936e+000 -3.1633e+000 -4.0249e+000 -1.7444e+000 -3.9024e-001 -4.1967e-001 -3.3375e+000 +4.0549e+000 -2.0828e+000 +1.9040e+000 -7.3888e-001 -8.8564e-002 -1.2749e+000 +2.2840e+000 -7.5678e+000 -4.9929e-001 +1.7309e+000 -2.4754e+000 -6.3755e+000
12 +3.944370066e+002 +3.944370066e+002 +3.852270066e+002 +3.852270066e+002 +3.4373e-001 +4.5633e+000 -5.8899e+000 -3.7252e+000 -4.9757e-001 -1.8531e+000 +4.5143e+000 +2.6223e-001 -1.6153e+000 +1.5797e+000 +6.1036e-001 -2.1393e+000 +3.0879e-001 +2.7369e+000 +1.8198e+000 -3.0511e+000 -3.2334e+000 +4.8016e+000 -3.8790e+000 -6.5235e+000
19 +3.257609087e+002 +3.257609087e+002 +3.165509087e+002 +3.165509087e+002 -2.1587e+000 +1.7388e+000 -4.4749e+000 -3.9384e+000 -4.1190e+000 -3.4342e+000 +1.4979e+000 +5.6678e+000 +6.4842e+000 -7.4148e+000 +2.7774e+000 -4.1175e+000 -2.0393e+000 +4.2060e-001 +1.7206e+000 -7.9047e+000 -8.7676e+000 +8.2502e-001 -2.8590e+000 +5.9924e+000
79 +2.603940150e+002 +2.603940150e+002 +2.511840150e+002 +2.511840150e+002 -1.4258e+000 -3.5673e-001 -4.4597e+000 -3.2621e+000 -2.0199e+000 -6.4585e+000 -1.3007e+000 -6.5410e-001 +4.3433e+000 -5.0239e+000 -7.1719e+000 -3.3944e+000 +1.8963e-001 +6.2138e+000 -3.4528e+000 -4.1352e+000 -2.0010e+000 +2.7942e+000 -8.7975e+000 -1.3734e+000
118 +2.127892096e+002 +2.127892096e+002 +2.035792096e+002 +2.035792096e+002 -2.5707e+000 +1.0803e+000 -5.2966e+000 -1.8597e+000 -7.0181e+000 -2.8775e+000 +5.1690e+000 +3.3730e+000 +2.0560e+000 -1.6611e+000 -8.9315e+000 -3.8174e+000 +4.6189e-001 -4.4428e+000 +7.1944e+000 -6.3341e+000 +8.0482e+000 +4.2625e+000 -6.9581e+000 +5.9225e+000
184 +1.957234130e+002 +1.957234130e+002 +1.865134130e+002 +1.865134130e+002 -1.1046e+000 +4.1125e+000 -2.4961e+000 +2.5517e+000 -2.8934e+000 -1.3930e+000 +2.2395e+001 +4.7215e+000 +6.4404e+000 +7.6386e-001 -1.2507e+000 -1.2714e+000 +7.7785e+000 +1.9886e+000 -1.8798e+000 -1.2279e+000 +3.5862e-002 +3.4770e+000 -3.3529e+000 +7.4775e+000
208 +1.399224620e+002 +1.399224620e+002 +1.307124620e+002 +1.307124620e+002 -2.9742e+000 +1.9272e+000 -6.8368e+000 +1.5544e+000 -5.8827e+000 +4.1792e+000 +3.6932e+000 +8.1928e-001 +2.4299e+000 -5.5598e+000 +3.0402e-001 -2.6535e+000 +1.9812e+000 +8.3230e+000 -1.3703e+000 -4.5495e+000 +3.1595e+000 +5.9538e+000 -7.4561e+000 +3.7327e+000
307 +1.223431311e+002 +1.223431311e+002 +1.131331311e+002 +1.131331311e+002 -2.8587e+000 +2.5966e+000 -5.2800e+000 +4.2379e+000 -1.2213e+000 -2.0606e+000 -2.6031e+000 +2.6724e+000 +1.0321e+001 -6.9540e+000 +1.4308e+000 -2.1065e-001 +1.3656e+001 +1.1316e+001 -3.8269e+000 -3.1881e+000 +5.2702e+000 +8.7751e+000 -9.2958e+000 +5.2544e+000
378 +1.174305910e+002 +1.174305910e+002 +1.082205910e+002 +1.082205910e+002 +6.0662e+000 -3.2009e+000 -1.9026e+000 -1.5577e+000 +4.1951e+000 +1.2484e+000 +9.0474e+000 +5.1478e-001 +7.3948e+000 -4.0988e+000 +1.3333e+000 -2.0166e+000 +5.2970e+000 +1.1353e+001 -5.9711e+000 -4.8391e+000 +2.9976e+000 +4.0478e+000 -1.0604e+001 +8.7827e+000
401 +8.929934705e+001 +8.929934705e+001 +8.008934705e+001 +8.008934705e+001 +2.5595e+000 +1.6935e+000 -2.5350e+000 +1.3146e+000 -4.1702e+000 +5.2643e+000 +3.8236e+000 +3.1319e+000 +8.3843e+000 -5.6033e+000 +1.0501e+000 -2.9625e+000 +3.2726e+000 +1.0022e+001 -7.5971e+000 -7.2284e+000 +7.3300e+000 +4.1680e+000 -6.3263e+000 +3.1901e+000
442 +6.566019401e+001 +6.566019401e+001 +5.645019401e+001 +5.645019401e+001 +3.0790e+000 +1.9544e+000 -3.4724e+000 +5.9556e+000 -2.2623e+000 +2.9418e+000 +8.9150e+000 +6.7395e+000 +7.0961e+000 -1.7725e+000 +2.5316e+000 -4.2413e+000 +4.1829e+000 +7.6531e+000 -7.1065e+000 -5.2250e+000 +7.5867e+000 +9.0315e+000 -5.2093e+000 +9.2454e+000
509 +5.895016024e+001 +5.895016024e+001 +4.974016024e+001 +4.974016024e+001 +2.9334e+000 +2.7995e+000 -7.4621e+000 -1.0277e+000 -3.1209e+000 +7.1845e-001 +4.8501e+000 +8.2550e+000 +9.6162e+000 -6.3198e+000 -9.8041e+000 -2.3037e+000 +3.0350e+000 +2.3115e+001 -8.6801e+000 -1.8709e+001 +7.6809e+000 +1.4318e+001 -5.5715e+000 +8.4446e+000
513 +5.811460056e+001 +5.811460056e+001 +4.890460056e+001 +4.890460056e+001 +8.0669e+000 +2.6889e+000 -2.6910e+000 -6.7055e+000 -2.7068e-001 +8.3886e+000 +6.3477e+000 +4.2768e+000 +6.7817e+000 -8.3001e+000 -9.0028e+000 -4.1191e+000 +4.5354e+000 +1.5723e+001 -1.5136e+001 -2.6992e+000 +5.7994e+000 +7.8571e+000 -7.0661e+000 +1.5746e+001
529 +5.588037605e+001 +5.588037605e+001 +4.667037605e+001 +4.667037605e+001 +4.2082e+000 +1.5479e+000 -3.4011e+000 +1.3736e+000 -5.1728e+000 +3.3023e+000 -8.6535e-001 +4.9962e+000 +9.0189e+000 -3.5023e+000 -4.5147e+000 -3.3001e+000 +1.6957e+001 +6.8557e+000 -1.0122e+001 -9.7849e+000 +3.9244e+000 +8.2439e+000 -8.6880e+000 +1.3776e+001
580 +4.786713372e+001 +4.786713372e+001 +3.865713372e+001 +3.865713372e+001 +2.7997e+000 +1.5101e+000 -8.3521e-001 +5.2014e+000 -5.2917e+000 +4.8413e+000 +8.2638e+000 +4.0779e+000 +1.2637e+001 -4.5035e+000 -4.3615e+000 -5.3423e+000 -1.5924e+000 +6.3062e+000 -9.1140e+000 -8.2760e+000 +1.0959e+001 +1.3758e+001 -8.2049e+000 +7.5412e+000
599 +4.232099109e+001 +4.232099109e+001 +3.311099109e+001 +3.311099109e+001 -9.7607e-001 +7.0038e+000 +8.2573e-001 +3.6316e+000 -3.4528e+000 +4.0441e+000 +1.2685e+001 +6.1603e+000 +1.3129e+001 -7.1119e-002 -1.9871e+000 -7.8469e+000 +9.5968e+000 +1.0150e+001 -1.0479e+001 -9.4446e+000 +1.0334e+001 +8.9827e+000 -1.0077e+001 +7.5481e+000
