% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.906194574e+003 +1.906194574e+003 +2.906194574e+003 +2.906194574e+003 +1.4789e+000 +4.2073e+000 +2.8035e+000 -6.3913e+000 -1.6471e-001 +2.1180e+000 -1.8952e+000 +2.7981e+000 -5.7474e+000 -4.5437e+000 -2.3566e+000 -1.8161e+000 -6.6290e+000 +2.6596e+000 +9.2566e-001 -5.0650e+000 -5.4920e+000 -1.8451e+000 +2.0913e+000 -4.6252e+000
10 +1.330472221e+003 +1.330472221e+003 +2.330472221e+003 +2.330472221e+003 +1.5934e+000 -4.4216e-001 +2.8414e+000 -2.9617e+000 +1.7240e+000 +2.4243e+000 -1.6229e+000 +3.8443e+000 -1.5910e-001 -4.8237e+000 -3.3172e-001 +2.2633e-001 -5.4659e+000 +2.2027e+000 -2.2041e+000 -2.8826e+000 -7.9380e-001 -3.4923e+000 +2.6601e+000 -3.6464e+000
30 +1.299090124e+003 +1.299090124e+003 +2.299090124e+003 +2.299090124e+003 +1.6391e+000 +2.8701e+000 +1.4162e+000 -4.4248e+000 +6.8122e-001 -2.0114e+000 -1.1194e+000 +3.3400e+000 -5.2929e+000 -5.9769e+000 -1.1754e+000 -1.5878e+000 -5.0212e+000 +2.6912e+000 +6.3224e-001 -4.0240e+000 +2.3670e-002 -2.1741e+000 +6.6510e-001 -2.5491e+000
74 +1.252246792e+003 +1.252246792e+003 +2.252246792e+003 +2.252246792e+003 -1.2174e+000 +3.7477e-001 +2.0043e+000 -3.1260e+000 +1.5644e+000 +3.4055e+000 -2.3004e+000 +1.7269e+000 -7.4183e+000 -6.0184e+000 -1.3668e+000 -9.3094e-001 -2.6082e+000 +2.1433e+000 -1.0555e+000 -7.9939e-001 +3.5335e+000 -2.2957e+000 +1.7311e+000 -2.4324e+000
92 +1.190859632e+003 +1.190859632e+003 +2.190859632e+003 +2.190859632e+003 +1.7508e+000 +2.9015e+000 +1.9298e+000 -2.9819e+000 +2.2542e+000 +2.2300e+000 +9.0021e-001 +3.0998e+000 -3.5489e+000 -4.8607e+000 +1.1981e+000 +6.0187e-001 -7.1155e+000 +2.3015e+000 -7.3427e-001 +1.5265e+000 +9.3221e-001 -1.6443e+000 +8.8704e-001 -2.8503e+000
112 +1.078420104e+003 +1.078420104e+003 +2.078420104e+003 +2.078420104e+003 -5.9483e-001 +5.0952e+000 +5.3915e-001 -3.5670e+000 +9.3832e-001 +1.0549e+000 -1.2374e+000 +4.1671e+000 -3.3921e+000 -2.8759e+000 -1.7593e+000 -1.5828e+000 -3.2891e+000 +1.9640e+000 +5.2799e+000 -2.6456e+000 -2.6649e+000 -9.2643e-001 +3.9526e+000 -5.3478e+000
137 +9.710424166e+002 +9.710424166e+002 +1.971042417e+003 +1.971042417e+003 +1.0163e+000 +3.3866e+000 +3.8410e+000 +6.0870e-001 -1.2775e+000 +2.3847e+000 -1.9578e+000 +3.4383e+000 -3.7266e+000 -1.9702e+000 -1.2133e+000 -1.2475e-001 -3.1894e+000 +3.5578e+000 +2.1342e-001 -6.0606e+000 +5.2009e-001 -2.0870e+000 -2.3430e+000 -3.0126e+000
183 +8.767131306e+002 +8.767131306e+002 +1.876713131e+003 +1.876713131e+003 +2.0480e+000 +4.0382e+000 +2.9814e+000 -1.8925e+000 +4.4181e+000 +1.8201e+000 -7.8210e-001 -1.5435e+000 -1.7435e+000 -2.6327e+000 -2.5843e+000 -4.9041e-001 -5.6279e+000 +2.4254e+000 -2.8895e+000 -1.0341e+000 -4.8268e-001 +4.2211e+000 +6.4823e-001 -3.6394e+000
185 +8.213956193e+002 +8.213956193e+002 +1.821395619e+003 +1.821395619e+003 +2.2016e+000 +2.6812e+000 +2.1554e+000 -2.4718e+000 +1.1642e+000 +4.5543e-001 -1.5138e+000 +3.2699e+000 -4.0208e+000 -4.3977e+000 -4.1342e+000 -5.1112e+000 -3.0495e+000 -1.1745e+000 +3.8661e-001 -1.7435e+000 +9.2949e-001 -3.4693e+000 +8.5931e-001 -5.1517e+000
331 +7.530202523e+002 +7.530202523e+002 +1.753020252e+003 +1.753020252e+003 +2.2643e+000 +2.2495e+000 +2.1832e+000 -1.9155e+000 +5.8718e-001 +1.5933e+000 -2.3175e+000 +2.3319e+000 -1.9637e+000 -1.2525e+000 -7.7309e+000 -4.2876e+000 -3.4429e+000 +2.6255e+000 +4.2277e-001 -3.9172e+000 +4.8393e-001 -2.4131e-001 -9.4162e-001 -1.0508e+000
340 +5.081311368e+002 +5.081311368e+002 +1.508131137e+003 +1.508131137e+003 -3.4379e+000 +3.4705e+000 +2.6712e+000 +1.0520e+000 +1.8439e+000 +1.0669e+000 -5.1454e-001 +1.9140e+000 -7.2339e+000 +1.9234e-001 -3.5885e+000 -2.3371e+000 -7.6489e-001 +1.2104e+000 +6.2650e+000 +1.9145e+000 -5.3962e-002 +1.8680e+000 -1.0458e+000 -2.6180e+000
513 +4.540078796e+002 +4.540078796e+002 +1.454007880e+003 +1.454007880e+003 -7.8033e-001 +3.6732e+000 +3.6362e+000 +2.0019e+000 +2.4466e+000 +2.1609e+000 -2.6724e+000 +1.9276e-001 -3.6808e+000 -4.4335e+000 -4.0719e+000 -4.7736e-001 -2.0885e+000 -7.6790e-001 +2.4366e+000 +1.6312e+000 +1.0436e+000 +1.8235e-001 +3.4506e+000 -1.7936e+000
634 +4.408397466e+002 +4.408397466e+002 +1.440839747e+003 +1.440839747e+003 +3.3787e-001 +2.5867e+000 +2.2788e+000 +2.6949e-001 -6.3256e-001 +3.0553e-001 -1.3778e+000 +1.6523e+000 -1.5906e+000 +1.0088e+000 -1.3560e+000 -2.9385e+000 -3.8589e+000 -4.0058e-001 +6.8173e-001 +1.9432e+000 +3.8213e+000 -3.5141e+000 +6.3943e-001 -9.4762e-001
700 +4.056363447e+002 +4.056363447e+002 +1.405636345e+003 +1.405636345e+003 -7.5654e-001 +2.3822e+000 +8.6321e-001 +1.8381e+000 +1.0737e+000 +2.8304e-001 +5.6661e-001 +1.3750e+000 -2.0978e+000 -2.0667e+000 -2.7249e+000 -1.5773e+000 -2.8211e+000 +1.4297e-001 +3.1989e-001 +3.7897e-001 +3.7760e+000 +1.7427e-001 +1.5861e+000 -2.8011e+000
742 +3.732197840e+002 +3.732197840e+002 +1.373219784e+003 +1.373219784e+003 -2.9373e+000 +4.3174e+000 +2.8886e+000 +1.4263e+000 +1.8091e+000 -6.8709e-001 -2.5298e+000 -7.2554e-001 -1.2860e+000 -7.0285e-001 -4.2947e+000 -9.0173e-001 -2.3449e+000 +7.0724e-001 +2.2957e+000 +5.4287e-001 +2.3458e+000 -7.0000e-001 -2.4723e-001 -2.7837e+000
