% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.795024078e+003 +2.795024078e+003 +2.824994078e+003 +2.824994078e+003 +3.9090e+000 +2.5927e+000 -3.5666e+000 +2.4481e+000 +1.1200e-001 -5.2555e-001 +5.9104e-001 +2.7938e+000 +2.5437e+000 -4.4094e+000 +2.4216e+000 +9.2828e-001 -1.7718e+000 -2.9204e+000 +1.2942e+000 +2.7932e+000 +4.1679e+000 -3.0543e+000 +1.7850e+000 -2.9126e+000
5 +2.602908977e+003 +2.602908977e+003 +2.632878977e+003 +2.632878977e+003 +4.6628e+000 +3.1102e+000 -3.9180e+000 +2.4868e+000 -3.5825e-001 -1.9543e-001 +8.8423e-001 +1.3993e+000 +1.1281e+000 -4.9987e+000 +3.0111e+000 +1.6074e-001 -1.6448e+000 -2.7703e+000 +5.4748e-001 +1.6519e+000 +4.0717e+000 -3.9678e+000 +2.6206e+000 -2.6246e+000
7 +2.565356133e+003 +2.565356133e+003 +2.595326133e+003 +2.595326133e+003 +4.0743e+000 +3.0948e+000 -3.4775e+000 +2.8217e+000 -8.0806e-001 -4.0603e-002 +5.5746e-001 +4.7214e-001 +2.1485e+000 -4.1790e+000 +1.6699e+000 +3.1801e-001 -2.0425e+000 -1.9222e+000 +1.1034e+000 +1.9010e+000 +4.3640e+000 -4.4754e+000 +2.1215e+000 -2.5718e+000
38 +2.482797652e+003 +2.482797652e+003 +2.512767652e+003 +2.512767652e+003 +5.5700e+000 +3.2392e+000 -3.9306e+000 +2.8066e+000 -4.2141e-002 +9.5666e-001 +2.0761e+000 +2.4454e+000 +2.7467e+000 -3.2694e+000 +2.2462e+000 +1.7506e-001 -1.0654e+000 +2.7488e-001 +3.9338e-001 +2.0958e+000 +2.8812e+000 -4.8408e+000 +1.3477e+000 -3.5944e+000
47 +2.443675928e+003 +2.443675928e+003 +2.473645928e+003 +2.473645928e+003 +4.5762e+000 +3.3898e+000 -3.9450e+000 +1.1195e+000 -8.9657e-001 -6.0548e-001 +3.6742e-001 -5.5510e-001 +2.3773e+000 -3.9622e+000 +1.7191e+000 +2.1633e-001 -3.0369e+000 -2.4945e+000 +8.6785e-001 +1.9186e+000 +2.5966e+000 -3.0710e+000 +2.8880e+000 -3.2543e+000
77 +2.381455263e+003 +2.381455263e+003 +2.411425263e+003 +2.411425263e+003 +5.1396e+000 +3.2566e+000 -5.8374e+000 +2.4400e+000 -7.8731e-001 -4.7944e-001 +8.7264e-001 +1.2036e+000 +2.8328e+000 -1.9594e+000 +1.9700e+000 +4.9745e-001 -1.9805e+000 -1.5797e+000 -1.1536e+000 +1.9316e+000 +4.0040e+000 -3.0424e+000 +2.2885e+000 -2.6342e+000
112 +2.277607253e+003 +2.277607253e+003 +2.307577253e+003 +2.307577253e+003 +3.3509e+000 +3.4724e+000 -6.3393e+000 +2.7188e+000 +4.8826e-001 +1.5084e+000 -1.5626e+000 +1.7040e+000 +1.8923e+000 -3.8840e+000 +1.3003e+000 -5.4960e-001 -2.9693e+000 -1.4272e+000 -4.4067e-001 +1.3033e+000 +4.3910e+000 -2.6626e+000 +2.9072e+000 -2.2563e+000
190 +2.216916338e+003 +2.216916338e+003 +2.246886338e+003 +2.246886338e+003 +5.0736e+000 +2.8690e+000 -4.0332e+000 +2.2792e+000 +6.8848e-001 +1.0167e+000 -1.0321e+000 -5.4345e-001 +1.9987e+000 -5.2078e+000 +3.8549e+000 -9.8564e-001 -3.2103e+000 -2.2815e+000 -3.7502e-002 +2.0852e+000 +2.4003e+000 -3.2016e+000 +4.3597e+000 -2.5758e+000
217 +2.163644448e+003 +2.163644448e+003 +2.193614448e+003 +2.193614448e+003 +4.4175e+000 +2.5980e+000 -4.5802e+000 +2.4251e+000 -5.5169e-002 +2.4600e-001 -1.4584e-001 +4.7756e-001 +1.7254e+000 -4.0119e+000 +3.5328e+000 +1.5939e-001 -9.7619e-001 -1.8778e+000 +3.7974e-001 +1.3501e+000 +2.1022e+000 -3.8841e+000 +1.8477e+000 -3.6000e+000
231 +2.033013473e+003 +2.033013473e+003 +2.062983473e+003 +2.062983473e+003 +3.5189e+000 +2.0252e+000 -4.4482e+000 +1.9277e+000 -7.4394e-001 +1.2171e+000 -1.8099e-001 -1.6264e+000 +1.5050e+000 -2.6182e+000 +1.9631e+000 -1.7226e+000 -1.4671e+000 -3.3935e-001 -3.7046e-001 +1.4449e+000 +3.5476e+000 -3.9352e+000 +4.7501e+000 -2.2109e+000
