% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.329570846e+002 +4.329570846e+002 +4.237470846e+002 +4.237470846e+002 -2.5706e-001 -2.8370e+000 +3.1994e+000 -3.4714e+000 -3.5135e+000 +1.3517e+000 -3.2342e+000 -3.1224e+000 -2.1013e+000 -1.2526e+000 -5.5400e+000 +4.1207e+000 -2.2285e-001 +1.8401e+000 -1.3987e+000 +3.0242e+000 -4.2968e+000 +2.4833e-002 +3.8882e+000 +4.4314e+000
4 +3.606024747e+002 +3.606024747e+002 +3.513924747e+002 +3.513924747e+002 -7.6716e-001 -1.8357e+000 +3.1197e+000 -3.1021e+000 +9.2286e-001 -1.2937e+001 -3.1053e-001 -1.5329e+000 -6.7544e+000 -1.9202e+000 -2.3900e+000 +1.3560e+000 -3.5062e+000 +3.3131e+000 +7.5962e-002 +2.7274e+000 +8.8011e+000 -5.6849e-002 -1.9601e+000 +4.5173e+000
16 +3.408722190e+002 +3.408722190e+002 +3.316622190e+002 +3.316622190e+002 -6.5033e-001 -3.5213e+000 -9.6428e-001 -5.9187e+000 +2.6831e+000 -5.0586e-001 -2.0484e+000 -3.7276e+000 +1.3202e+000 -2.3419e+000 -1.5251e+000 +6.2942e+000 +2.7096e-001 +5.5574e+000 -2.5902e+000 -3.9649e+000 -3.5997e-001 -1.2127e-001 +1.2554e+000 +6.6150e+000
41 +3.336675066e+002 +3.336675066e+002 +3.244575066e+002 +3.244575066e+002 -3.1036e+000 -3.0226e+000 +3.7160e+000 -4.3025e+000 -3.7935e+000 -6.0720e+000 +1.8393e+000 +8.0834e-001 +5.6195e+000 -3.2173e+000 -5.8989e+000 +2.9336e+000 +6.1147e+000 +4.6537e+000 +1.4909e+000 +2.1008e+000 -9.4218e-001 -1.9057e+000 +7.5262e-001 +4.9769e+000
48 +3.287500330e+002 +3.287500330e+002 +3.195400330e+002 +3.195400330e+002 +8.4350e+000 +1.8008e+000 +1.2605e+000 -2.0187e+000 -2.7728e+000 -3.1968e+000 +4.2514e+000 -6.5904e+000 -1.0160e+000 -6.9425e+000 -5.3955e+000 -2.6307e+000 +1.6837e+000 +3.8923e+000 -2.7298e+000 +2.4283e+000 -1.9947e-001 +1.7516e-001 +4.7224e+000 +4.9654e+000
86 +3.058332647e+002 +3.058332647e+002 +2.966232647e+002 +2.966232647e+002 +1.9711e-001 -8.3805e+000 -8.5032e-001 -2.9221e+000 +1.6349e-001 -4.7486e+000 -3.0002e+000 -9.1437e-001 -3.0071e+000 -3.1250e+000 -3.6547e+000 -9.1995e+000 +1.1560e+000 +7.2028e+000 -4.1096e+000 -5.3206e+000 -1.2973e+000 -6.3952e-002 +3.3859e+000 +4.9880e+000
111 +2.689419599e+002 +2.689419599e+002 +2.597319599e+002 +2.597319599e+002 +1.1902e+000 -3.9862e+000 +3.0623e+000 -7.7167e+000 -2.7033e+000 -1.5954e+000 +1.1487e+000 +1.6559e-001 -4.1152e+000 -5.2162e+000 -1.0044e+001 -5.5682e-001 +6.1790e+000 +7.5856e-001 -8.1132e+000 -4.2140e+000 +2.0525e+000 +7.0372e-001 +2.9989e+000 +4.2143e+000
160 +2.624789278e+002 +2.624789278e+002 +2.532689278e+002 +2.532689278e+002 +8.2425e+000 +2.0869e+000 +4.8540e-001 -1.7979e-001 -5.5708e+000 -1.8838e+000 -6.2773e+000 -3.3017e+000 +2.8971e+000 -2.6253e+000 +2.4816e-001 +2.7770e+000 +2.9765e+000 +8.3762e+000 -5.6272e-001 -3.5860e+000 +7.5894e+000 -2.1936e+000 -1.2894e+000 +8.2561e+000
167 +1.982111403e+002 +1.982111403e+002 +1.890011403e+002 +1.890011403e+002 +7.2349e+000 -1.2215e+000 +1.6956e+000 -6.1071e+000 +2.4943e+000 -2.1595e+000 +2.4462e+000 +2.0389e+000 +2.3404e+000 +2.1931e+000 -4.8830e+000 +1.2662e+000 +4.2420e+000 +4.3592e+000 -3.4188e+000 -5.7274e-001 +5.0623e+000 +8.3177e+000 -6.3217e-001 +8.3833e+000
233 +1.835928411e+002 +1.835928411e+002 +1.743828411e+002 +1.743828411e+002 +3.0300e+000 +1.0488e+000 +5.9848e+000 -6.1826e+000 -1.9848e+000 +6.3966e-001 -2.4843e+000 -3.4874e+000 +2.7342e+000 -1.1557e+001 -9.8167e+000 -4.0467e+000 -4.6011e+000 +1.6505e+001 -1.2656e+000 -1.3713e+001 -6.9826e-001 +9.6259e+000 -4.7522e+000 +7.7183e+000
269 +1.743083078e+002 +1.743083078e+002 +1.650983078e+002 +1.650983078e+002 +9.7932e+000 -1.6423e+000 +5.8019e+000 +3.5013e-002 -4.6692e+000 -4.2267e+000 +4.1931e-001 +4.9343e+000 +8.1025e-001 +2.5222e+000 -5.1048e+000 +4.1913e-001 +6.7273e+000 +4.7694e+000 -1.3674e+000 -2.1903e+000 +7.4339e+000 +8.5018e+000 -4.4375e-001 +1.0548e+001
306 +1.590273994e+002 +1.590273994e+002 +1.498173994e+002 +1.498173994e+002 +5.3022e+000 -5.2242e+000 +5.2818e-001 -3.3643e+000 -8.4831e+000 -4.3510e+000 -1.0881e+000 -4.6497e-001 +7.7103e+000 -2.0089e-002 -1.3661e+001 -5.5848e+000 +9.3642e+000 +9.1032e+000 -9.6225e+000 +1.3709e+000 +7.0417e-001 +5.9560e+000 -4.6238e+000 +7.0796e+000
320 +1.179823718e+002 +1.179823718e+002 +1.087723718e+002 +1.087723718e+002 +2.7627e+000 +4.3359e+000 +1.3895e+000 -3.2011e+000 -3.7121e+000 -2.8777e+000 +5.4514e+000 +8.3001e-001 +3.2931e+000 -4.8971e+000 -1.6175e+001 -2.9264e+000 +7.5894e+000 +8.9443e+000 -1.1059e+000 -4.0955e+000 +7.7187e+000 +2.3062e+000 -3.6792e+000 +7.3455e+000
371 +1.131507650e+002 +1.131507650e+002 +1.039407650e+002 +1.039407650e+002 +1.3149e+001 +7.0662e+000 +4.6184e+000 -1.3534e+000 -7.5752e+000 -4.2154e+000 +4.0256e-001 +9.6679e+000 +3.4580e-001 -7.6641e+000 -1.4863e+001 +1.5419e+000 +4.0543e+000 +9.4207e+000 -6.0684e+000 -4.6849e+000 +3.8344e+000 +8.1241e+000 -2.0712e+000 +7.4686e+000
407 +1.061656521e+002 +1.061656521e+002 +9.695565208e+001 +9.695565208e+001 +2.7865e+000 -5.5884e+000 +2.3742e+000 -1.5203e+000 -8.3789e+000 -2.3681e+000 +1.9244e+001 +6.6405e+000 +1.1200e+001 -6.1833e+000 -1.7685e+001 -1.2707e+000 +8.5147e+000 +7.5005e+000 -3.4199e+000 -6.7253e+000 +3.7724e+000 +6.0757e-001 -5.1033e+000 +6.5939e+000
451 +1.031834639e+002 +1.031834639e+002 +9.397346392e+001 +9.397346392e+001 -1.9237e+000 -2.0467e+000 +5.0323e+000 -4.1159e+000 -3.9454e+000 -1.7487e+000 -2.3403e+000 +8.7921e+000 +9.6252e+000 -2.2783e+000 -5.1302e+000 -2.5048e+000 +6.7331e+000 +8.2958e+000 -4.5148e+000 -1.1246e+001 +1.3017e+000 +6.2945e+000 -7.0881e+000 +1.6894e+001
459 +8.908081639e+001 +8.908081639e+001 +7.987081639e+001 +7.987081639e+001 +5.7805e+000 +1.7763e+000 +4.2650e-001 -5.5244e+000 -3.2911e+000 -2.5176e+000 +1.9937e+000 +4.1647e+000 +7.3597e+000 -6.8424e+000 -3.5652e+000 -2.8303e+000 +6.7754e+000 +7.6625e+000 -4.4316e+000 -6.9655e+000 +1.6055e+000 +6.0606e+000 -2.1007e+001 +1.5330e+001
475 +8.495753713e+001 +8.495753713e+001 +7.574753713e+001 +7.574753713e+001 +1.9976e+000 +3.1232e+000 +1.4494e+001 -2.4786e+000 -2.4606e+000 -2.4893e+000 +1.2387e+000 +6.9935e-001 +4.8421e+000 -5.4937e+000 -5.9239e+000 -1.3965e+000 +5.8952e+000 +8.6243e+000 -3.6779e+000 -7.4122e+000 +3.2590e+000 +6.9081e+000 -5.7562e+000 +1.2799e+001
518 +8.306528443e+001 +8.306528443e+001 +7.385528443e+001 +7.385528443e+001 -4.0461e-001 +8.4460e-001 +4.4962e+000 -4.7622e+000 -3.2525e+000 +2.4141e+000 +1.2056e+000 +3.9858e+000 +4.5398e+000 -2.8357e+000 -1.5830e+001 -5.1807e-001 +4.3039e+000 +1.0455e+001 -4.2976e+000 -3.5350e+000 +8.6912e+000 +6.2560e+000 -6.2532e+000 +2.6281e+001
561 +7.425889977e+001 +7.425889977e+001 +6.504889977e+001 +6.504889977e+001 +4.3972e+000 +1.7635e+000 +1.7873e+000 -2.7687e+000 -3.9788e+000 -1.4849e+000 -5.6220e-002 +7.6732e+000 +1.0867e+000 -5.1286e+000 -6.1273e+000 -4.7590e+000 +7.6598e+000 +1.0270e+001 -9.7883e+000 -6.7524e+000 +3.5835e+000 +3.7706e+000 -5.1886e+000 +8.5492e+000
