% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.821412881e+009 +1.821412881e+009 +1.821412259e+009 +1.821412259e+009 +5.5197e+000 -2.0786e+000 +4.5133e+000 -8.2591e-001 -5.4088e-001 +3.0254e+000 +2.1055e+000 -2.5749e-001 +1.6212e+000 +2.8339e+000 -3.5498e+000 +5.5126e+000 +2.8200e+000 +4.5579e+000 +1.4413e+000 +2.0867e-001 +2.2107e+000 +9.8825e-001 +3.3536e+000 +2.9352e+000
3 +4.916286675e+008 +4.916286675e+008 +4.916280464e+008 +4.916280464e+008 +2.3201e+000 +1.9644e+000 +2.6528e+000 -2.3235e+000 -4.1442e+000 +3.5186e+000 +4.3740e+000 +1.4529e+000 +3.3770e+000 +3.6118e+000 -3.1278e+000 +5.7299e-002 -1.6511e-001 +3.4467e+000 +5.4419e+000 +1.2377e+000 +4.4105e+000 +2.2412e+000 -3.5706e+000 +1.5458e+000
75 +3.119285293e+008 +3.119285293e+008 +3.119279081e+008 +3.119279081e+008 +3.1035e+000 +3.0785e+000 +9.7690e-001 -4.0218e+000 -1.1661e+000 +4.4700e+000 +3.4163e+000 +3.1840e+000 +5.1040e+000 +2.0096e+000 -6.0909e+000 +5.3822e+000 -1.4421e+000 +3.9694e+000 +6.9675e+000 -2.8153e+000 +4.3654e+000 +3.4573e+000 -1.8843e+000 +1.4099e+000
121 +2.059298978e+008 +2.059298978e+008 +2.059292767e+008 +2.059292767e+008 +1.4331e+000 +1.1625e+000 +1.8976e+000 -2.4900e+000 -3.4006e+000 -3.6373e-001 +1.1101e+000 +1.1335e+000 -6.0733e-001 +1.6607e+000 -5.1912e+000 +6.8812e-001 -9.1227e-002 +4.5193e+000 +4.2831e+000 +7.8478e-001 -1.5442e+000 +4.5578e+000 +1.4658e+000 +2.6200e+000
330 +1.679761480e+008 +1.679761480e+008 +1.679755269e+008 +1.679755269e+008 +3.7927e+000 +4.6485e+000 -1.2957e+000 -4.9037e+000 +1.2119e-001 +1.1107e+000 -2.9659e+000 +2.7468e+000 +2.3137e+000 +2.7335e+000 -5.0812e+000 +2.4213e-001 +1.8165e+000 +2.5579e+000 +4.7444e+000 -2.6437e-001 +3.1327e+000 +3.3512e+000 -3.9462e-001 -1.8896e+000
407 +1.582086020e+008 +1.582086020e+008 +1.582079809e+008 +1.582079809e+008 -7.7613e-001 +2.2294e+000 -4.1783e-001 -6.2575e+000 -5.6397e+000 +1.6563e+000 +1.8543e+000 +1.7886e-001 +2.9124e+000 -2.2981e+000 -4.5283e+000 +3.3011e+000 +1.3543e+000 +3.1556e+000 +2.3433e+000 -2.5362e-001 +4.5694e+000 +5.1351e+000 +7.8584e-002 +1.5773e+000
409 +1.457212322e+008 +1.457212322e+008 +1.457206111e+008 +1.457206111e+008 +4.8271e-001 +2.3443e+000 +1.5893e+000 -7.2485e+000 -2.8877e+000 +1.2889e+000 +1.1831e+000 +2.9487e+000 +5.1145e+000 +4.7197e-001 -1.5016e+000 +1.4421e+000 +2.0686e+000 +1.6375e+000 +5.0744e+000 +7.4486e-002 +2.0953e+000 +4.6543e+000 -3.0352e+000 +7.9990e-001
434 +1.327857113e+008 +1.327857113e+008 +1.327850902e+008 +1.327850902e+008 +2.3489e+000 +1.8162e+000 +1.7862e+000 -4.6417e+000 -2.6184e+000 +1.1995e+000 +1.5821e+000 +2.5780e-001 +1.6261e+000 -6.0213e-001 -2.8441e+000 +3.3082e+000 +2.2077e+000 +3.5889e+000 +6.1948e+000 -8.6599e-001 +4.8581e+000 +5.0250e+000 +4.3007e+000 +1.3705e+000
473 +1.107481982e+008 +1.107481982e+008 +1.107475771e+008 +1.107475771e+008 +1.0112e+000 +4.1425e+000 +1.5054e+000 -2.7840e+000 -1.5098e+000 -1.6263e+000 +2.1992e+000 +2.1482e+000 +4.8605e+000 +3.0567e+000 -5.1951e+000 +4.5043e+000 +2.4434e+000 +2.7739e+000 +3.9117e+000 -1.1159e+000 +3.8976e+000 +4.3450e+000 +1.7057e+000 +1.7335e+000
546 +8.678635187e+007 +8.678635187e+007 +8.678573076e+007 +8.678573076e+007 +2.4295e-002 +5.3797e+000 +2.5441e+000 -3.8668e+000 -3.6271e+000 +6.9565e-001 +3.7133e-001 +2.5678e+000 +2.2725e+000 -1.4783e+000 -2.5322e+000 +2.3834e+000 +2.1676e+000 +3.5207e+000 +4.5239e+000 -1.3483e+000 +2.2314e+000 +5.4652e+000 -1.0869e+000 -1.6913e+000
611 +8.219561920e+007 +8.219561920e+007 +8.219499809e+007 +8.219499809e+007 +1.1516e+000 +3.1958e+000 +7.2824e-001 -3.3396e+000 -2.7193e+000 -1.8884e-001 +1.5613e+000 +2.4021e+000 +3.5577e+000 -7.6501e-002 -3.5985e+000 +3.5097e+000 +4.3302e+000 +1.2571e+000 +5.1486e+000 -2.0621e+000 +2.1774e+000 +6.8411e+000 +9.6627e-001 -7.5081e-002
656 +7.572679429e+007 +7.572679429e+007 +7.572617318e+007 +7.572617318e+007 +2.1045e+000 +2.4478e+000 -2.3108e-001 -2.4336e+000 -2.7636e+000 -1.4376e+000 +1.0591e+000 +1.8764e+000 +1.0683e+000 -1.1625e+000 -3.0522e+000 +3.2230e+000 +2.2421e+000 +4.7815e+000 +2.4792e+000 -1.6161e+000 +2.5505e+000 +6.2244e+000 +1.6819e+000 +7.4021e-001
738 +6.402567173e+007 +6.402567173e+007 +6.402505062e+007 +6.402505062e+007 -4.8173e-001 +4.9501e+000 -4.5055e-001 -2.2811e+000 +2.7440e-001 -3.4695e+000 +3.0752e+000 +2.8755e+000 +3.6584e+000 -2.3707e-001 -1.1059e-001 +3.1165e+000 +4.3731e+000 +2.1889e+000 +3.2653e+000 -2.1730e+000 +2.6574e+000 +4.2981e+000 +2.9767e+000 -5.1955e+000
841 +5.867029828e+007 +5.867029828e+007 +5.866967717e+007 +5.866967717e+007 +1.3157e+000 +5.3554e+000 +5.1384e-001 +3.7196e-001 -3.9219e+000 -3.6796e+000 +2.0472e+000 +5.8287e-002 +3.1872e+000 +1.3213e+000 -2.0232e+000 +3.7247e+000 +2.7346e+000 +1.3497e+000 +4.3623e+000 -2.5505e+000 +3.2234e+000 +3.0755e+000 +2.2934e+000 -8.0947e-002
899 +4.753835099e+007 +4.753835099e+007 +4.753772988e+007 +4.753772988e+007 +2.5779e+000 +3.4549e+000 -2.7182e-001 -3.5222e+000 -2.7480e+000 +1.0132e+000 +1.6947e+000 +1.4236e+000 -7.6814e-003 -1.5126e-001 +1.3144e+000 +3.4945e+000 +5.7458e+000 +1.7964e+000 +3.7456e+000 -3.4739e+000 +1.5386e+000 +4.1018e+000 +1.2898e+000 +1.5239e+000
904 +4.370541404e+007 +4.370541404e+007 +4.370479293e+007 +4.370479293e+007 +9.7701e-001 +4.3528e+000 +6.8593e-001 -2.6373e+000 -3.2180e+000 -4.2268e-001 +3.2319e+000 +2.0841e+000 +4.3419e+000 +6.6482e-001 -5.6487e-001 +4.3188e+000 +3.6277e+000 +1.6460e+000 +1.2236e+000 -1.7319e+000 +2.4224e+000 +5.1426e+000 +9.9443e-001 +5.0824e-001
915 +4.228738769e+007 +4.228738769e+007 +4.228676658e+007 +4.228676658e+007 +2.5789e+000 +4.9885e+000 -1.5957e+000 -1.6867e+000 -1.4853e+000 +4.6759e-002 +3.6367e+000 +1.3637e-002 +2.3215e+000 -5.7291e-001 -1.6887e+000 +4.8563e+000 +6.8537e-001 +3.4053e+000 +1.0042e+000 -2.1847e+000 +1.3625e-001 +4.7967e+000 +3.5093e+000 -1.3174e+000
976 +2.377343397e+007 +2.377343397e+007 +2.377281286e+007 +2.377281286e+007 +4.7847e-001 +4.3450e+000 +1.1935e+000 -2.9175e+000 +5.2745e-002 -1.6891e-001 +2.1844e+000 +2.4985e-001 +3.8804e+000 +1.3918e+000 +3.8723e-001 +2.8214e+000 +3.1110e+000 +2.6433e+000 +2.7568e+000 -2.2618e+000 -5.1924e-001 +3.1425e+000 -1.7201e-001 -5.7644e-001
1236 +2.231139108e+007 +2.231139108e+007 +2.231076997e+007 +2.231076997e+007 +4.8827e-001 +4.5858e+000 +1.2308e+000 -2.3837e+000 -1.0697e+000 -2.0759e+000 +2.2044e+000 +1.5783e+000 +2.6449e+000 +3.4776e-001 -6.7617e-001 +2.8413e+000 +1.8496e+000 +2.5411e-001 +2.5849e+000 -2.6937e+000 +1.6356e+000 +3.4381e+000 -2.2796e-001 -4.4633e-001
1366 +2.025158436e+007 +2.025158436e+007 +2.025096325e+007 +2.025096325e+007 +1.9917e-001 +4.2918e+000 +4.6759e-002 -3.4792e+000 -1.7408e+000 -6.5622e-001 +3.7097e-001 +1.0892e+000 +1.6842e+000 -7.4079e-002 -6.1239e-001 +3.5423e+000 +1.8963e+000 +1.4007e+000 +2.1482e+000 -2.3346e+000 +1.3389e+000 +4.2304e+000 +2.6335e-002 -7.5003e-001
1376 +1.978377149e+007 +1.978377149e+007 +1.978315038e+007 +1.978315038e+007 -1.5706e+000 +4.9620e+000 +1.2553e+000 -3.5733e+000 -1.5139e+000 -2.6890e+000 +3.1137e+000 +1.0975e+000 +2.0333e+000 +8.0864e-001 +2.1384e+000 +4.3542e+000 +2.7559e+000 +2.3941e+000 +1.9894e+000 -1.7911e+000 +1.2915e+000 +4.4622e+000 +2.2125e+000 -7.5918e-001
1394 +1.736199863e+007 +1.736199863e+007 +1.736137752e+007 +1.736137752e+007 -4.9395e-001 +4.5243e+000 -5.8850e-001 -2.0471e+000 -2.0564e+000 -1.7642e+000 +2.3610e+000 +6.0927e-001 +1.9717e+000 +1.7516e-001 -4.3657e-001 +3.2036e+000 +3.8903e+000 +1.9006e+000 +3.4788e+000 -2.8057e+000 +1.4424e+000 +3.1691e+000 -7.8922e-001 -1.4677e+000
1417 +1.504141320e+007 +1.504141320e+007 +1.504079209e+007 +1.504079209e+007 -2.8866e-001 +4.3761e+000 +7.3672e-002 -3.0566e+000 -1.3341e+000 -2.1176e+000 +2.2011e+000 +1.3694e+000 +2.1806e+000 -7.9379e-001 -6.1323e-001 +3.4847e+000 +3.8423e+000 +7.3856e-001 +1.9186e+000 -3.7565e-001 +2.0622e+000 +2.4068e+000 +1.1743e+000 -1.0474e+000
1459 +1.325207210e+007 +1.325207210e+007 +1.325145099e+007 +1.325145099e+007 +8.3065e-001 +3.6976e+000 +2.5320e-002 -3.8324e+000 -1.4301e+000 -1.8402e+000 +2.5473e+000 +1.6924e+000 +1.5344e+000 -7.3279e-001 +1.1799e+000 +3.7505e+000 +3.3967e+000 +1.2504e+000 +2.7367e+000 -1.0382e+000 +1.1627e+000 +2.9152e+000 +2.7751e-001 -9.7900e-001
1515 +1.103179520e+007 +1.103179520e+007 +1.103117409e+007 +1.103117409e+007 +5.7116e-001 +4.3939e+000 +5.9328e-001 -3.4121e+000 -1.2718e+000 -1.5246e+000 +1.2071e+000 +1.3147e+000 +9.5509e-001 -5.3442e-001 -3.5192e-001 +3.3928e+000 +3.0350e+000 +1.0738e+000 +3.6041e+000 -1.8164e+000 +9.6030e-001 +2.6998e+000 +1.3692e+000 -5.1812e-001
1568 +8.211288237e+006 +8.211288237e+006 +8.210667127e+006 +8.210667127e+006 +7.6350e-001 +4.3626e+000 +9.2293e-001 -2.2620e+000 -5.5907e-001 -1.0021e+000 +2.2571e+000 +6.2281e-001 +1.5798e+000 -5.7398e-001 -3.6979e-001 +2.8893e+000 +3.0605e+000 +1.6686e+000 +1.6449e+000 -2.2356e+000 +5.1838e-001 +3.0876e+000 +2.4635e-001 -6.3882e-001
1708 +6.840806717e+006 +6.840806717e+006 +6.840185607e+006 +6.840185607e+006 +2.2352e-001 +4.5441e+000 +1.7059e-001 -3.6842e+000 -4.4408e-001 -2.2298e+000 +1.7548e+000 +3.6267e-001 +1.3261e+000 +3.9250e-001 -1.0297e-001 +3.1407e+000 +3.3344e+000 +1.7374e+000 +2.7218e+000 -2.5232e+000 +1.9039e+000 +2.4986e+000 +6.9321e-001 -1.4059e+000
1770 +6.516233920e+006 +6.516233920e+006 +6.515612810e+006 +6.515612810e+006 -1.5169e-002 +4.3303e+000 +9.1510e-001 -3.0922e+000 -1.2672e+000 -9.5468e-001 +2.0101e+000 +2.2373e-001 +5.2408e-001 +7.7097e-002 -4.4708e-002 +3.0396e+000 +3.8696e+000 +2.2571e+000 +2.2964e+000 -1.6080e+000 +1.7753e+000 +2.2022e+000 +1.7797e+000 -1.1588e+000
1839 +5.487162379e+006 +5.487162379e+006 +5.486541269e+006 +5.486541269e+006 -6.7957e-001 +3.8743e+000 +1.0974e+000 -2.5190e+000 -9.0978e-001 -2.8204e+000 +2.2410e+000 -7.0547e-001 +1.6124e+000 +2.9259e-001 +5.3610e-001 +3.7595e+000 +3.4129e+000 +1.3747e+000 +2.9693e+000 -1.4509e+000 +1.1659e+000 +3.3710e+000 +1.0253e+000 -6.6054e-001
1914 +5.317577432e+006 +5.317577432e+006 +5.316956322e+006 +5.316956322e+006 -1.6919e+000 +3.7132e+000 +7.7259e-001 -2.9326e+000 -9.3319e-001 -2.4577e+000 +2.4369e+000 -3.6141e-001 +1.3981e+000 -3.5309e-001 +4.4496e-001 +3.8390e+000 +3.7634e+000 +1.9569e+000 +2.2148e+000 -1.5058e+000 +1.2183e+000 +3.0247e+000 +1.7490e+000 -9.0363e-001
1943 +2.948121932e+006 +2.948121932e+006 +2.947500822e+006 +2.947500822e+006 -7.2676e-001 +4.2606e+000 +6.8383e-002 -3.2409e+000 -1.0984e+000 -1.6751e+000 +1.5623e+000 -2.3912e-001 +1.1176e+000 -1.1302e-001 +5.9711e-001 +3.5715e+000 +3.1850e+000 +1.0590e+000 +2.3662e+000 -1.5341e+000 +1.1388e+000 +2.7545e+000 +5.3434e-001 -9.4340e-001
