% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.109190519e+001 +5.109190519e+001 +4.188190519e+001 +4.188190519e+001 +7.5094e-001 +3.1572e-001
5 +4.953621587e+001 +4.953621587e+001 +4.032621587e+001 +4.032621587e+001 +7.9742e-001 +4.6664e-001
6 +4.738882607e+001 +4.738882607e+001 +3.817882607e+001 +3.817882607e+001 +4.2587e-001 +7.1853e-001
9 +3.183022116e+001 +3.183022116e+001 +2.262022116e+001 +2.262022116e+001 -5.8926e-002 +2.3229e+000
19 +2.251452530e+001 +2.251452530e+001 +1.330452530e+001 +1.330452530e+001 +2.2491e-001 +3.2261e+000
21 +4.710153749e+000 +4.710153749e+000 -4.499846251e+000 -4.499846251e+000 +2.8985e-001 +5.9065e+000
22 +3.891636244e+000 +3.891636244e+000 -5.318363756e+000 -5.318363756e+000 +1.1084e+000 +7.8494e+000
37 +3.215541608e+000 +3.215541608e+000 -5.994458392e+000 -5.994458392e+000 +1.7845e+000 +5.8547e+000
47 +2.189885433e+000 +2.189885433e+000 -7.020114567e+000 -7.020114567e+000 +2.8101e+000 +8.0668e+000
51 +2.012807398e+000 +2.012807398e+000 -7.197192602e+000 -7.197192602e+000 +2.9872e+000 +8.5058e+000
56 +0.000000000e+000 +0.000000000e+000 -9.210000000e+000 -9.210000000e+000 +8.4372e+000 +1.0858e+001
64678 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 -9.210000000e+000 +1.0000e+308 -3.7163e+307
% function evaluation | noise-free fitness - Fopt (6.559900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.216161300e+001 +9.216161300e+001 +7.481516130e+002 +7.481516130e+002 +3.0915e+000 +4.0253e+000
2 +8.343722463e+001 +8.343722463e+001 +7.394272246e+002 +7.394272246e+002 +2.6715e+000 +3.1109e+000
10 +8.251850532e+001 +8.251850532e+001 +7.385085053e+002 +7.385085053e+002 +3.2087e+000 +3.0727e+000
12 +7.771213816e+001 +7.771213816e+001 +7.337021382e+002 +7.337021382e+002 +2.8695e+000 +2.5582e+000
21 +6.481952846e+001 +6.481952846e+001 +7.208095285e+002 +7.208095285e+002 +2.5887e+000 +1.2408e+000
22 +4.855376419e+001 +4.855376419e+001 +7.045437642e+002 +7.045437642e+002 +2.1328e+000 -4.3134e-001
31 +0.000000000e+000 +0.000000000e+000 +6.559900000e+002 +6.559900000e+002 +6.8715e+000 -1.4648e+001
68579 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +6.559900000e+002 +1.2369e+308 +1.1926e+308
% function evaluation | noise-free fitness - Fopt (6.671000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.448844423e+001 +5.448844423e+001 +1.211984442e+002 +1.211984442e+002 -4.4115e+000 +3.8999e-001
4 +5.097659955e+001 +5.097659955e+001 +1.176865995e+002 +1.176865995e+002 -3.3453e+000 -6.7812e-002
5 +3.803343862e+001 +3.803343862e+001 +1.047434386e+002 +1.047434386e+002 -3.1673e+000 -1.3799e+000
16 +3.301781214e+001 +3.301781214e+001 +9.972781214e+001 +9.972781214e+001 -2.2377e+000 -1.9745e+000
21 +3.211633429e+001 +3.211633429e+001 +9.882633429e+001 +9.882633429e+001 -2.2616e+000 -2.0622e+000
32 +2.177758372e+001 +2.177758372e+001 +8.848758372e+001 +8.848758372e+001 -2.2890e+000 -3.0933e+000
38 +1.214608390e+001 +1.214608390e+001 +7.885608390e+001 +7.885608390e+001 -1.2347e+000 -4.1619e+000
43 +6.700211260e+000 +6.700211260e+000 +7.341021126e+001 +7.341021126e+001 +3.0290e-001 -4.8603e+000
44 +3.243597464e+000 +3.243597464e+000 +6.995359746e+001 +6.995359746e+001 -1.7564e+000 -6.1793e+000
62 +2.682312837e+000 +2.682312837e+000 +6.939231284e+001 +6.939231284e+001 -2.3177e+000 -6.6371e+000
66 +0.000000000e+000 +0.000000000e+000 +6.671000000e+001 +6.671000000e+001 -7.3958e+000 -1.4095e+001
62429 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +6.671000000e+001 -1.3342e+292 +2.9313e+307
% function evaluation | noise-free fitness - Fopt (9.416700000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.480009160e+001 +7.480009160e+001 +1.016470092e+003 +1.016470092e+003 -2.2981e+000 +2.2098e+000
17 +6.545242609e+001 +6.545242609e+001 +1.007122426e+003 +1.007122426e+003 -5.1368e+000 +1.5452e+000
23 +6.198542925e+001 +6.198542925e+001 +1.003655429e+003 +1.003655429e+003 -6.3196e+000 +1.1985e+000
30 +5.109701312e+001 +5.109701312e+001 +9.927670131e+002 +9.927670131e+002 +7.0656e-001 -4.6095e-001
37 +4.353698471e+001 +4.353698471e+001 +9.852069847e+002 +9.852069847e+002 +2.8030e+000 -1.4266e+000
42 +1.982409396e+001 +1.982409396e+001 +9.614940940e+002 +9.614940940e+002 +1.4824e+001 -1.0380e+001
46 +1.646954664e+001 +1.646954664e+001 +9.581395466e+002 +9.581395466e+002 +8.6269e+000 -4.7157e+000
49 +0.000000000e+000 +0.000000000e+000 +9.416700000e+002 +9.416700000e+002 -1.1124e+001 -1.5648e+001
56168 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +9.416700000e+002 -8.2209e+266 +3.9240e+307
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.153703086e+001 +5.153703086e+001 +1.408703086e+001 +1.408703086e+001 -4.6503e-001 +3.9280e-001
6 +4.739378384e+001 +4.739378384e+001 +9.943783837e+000 +9.943783837e+000 +1.7052e+000 +5.9010e-001
14 +3.215599356e+001 +3.215599356e+001 -5.294006438e+000 -5.294006438e+000 +2.4920e+000 +2.0352e+000
22 +2.909726303e+001 +2.909726303e+001 -8.352736972e+000 -8.352736972e+000 +1.7987e+000 +2.4104e+000
24 +1.544266476e+001 +1.544266476e+001 -2.200733524e+001 -2.200733524e+001 +1.2462e+001 +3.4557e+000
28 +3.843656956e+000 +3.843656956e+000 -3.360634304e+001 -3.360634304e+001 +1.1563e+000 +5.1802e+000
31 +0.000000000e+000 +0.000000000e+000 -3.745000000e+001 -3.745000000e+001 +5.9364e+000 +7.4037e+000
53586 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 -3.745000000e+001 +9.3561e+269 -2.2076e+307
% function evaluation | noise-free fitness - Fopt (3.680300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.986669525e+001 +1.986669525e+001 +3.878966953e+002 +3.878966953e+002 -3.6810e+000 -3.1452e+000
9 +1.785730527e+001 +1.785730527e+001 +3.858873053e+002 +3.858873053e+002 -3.6303e+000 -3.3512e+000
13 +1.261886352e+001 +1.261886352e+001 +3.806488635e+002 +3.806488635e+002 -3.4204e+000 -3.8961e+000
17 +4.021158149e-001 +4.021158149e-001 +3.684321158e+002 +3.684321158e+002 -4.5979e+000 -5.1672e+000
39 +0.000000000e+000 +0.000000000e+000 +3.680300000e+002 +3.680300000e+002 -5.0078e+000 -6.2934e+000
64519 +1.#INF00000e+000 +0.000000000e+000 +1.#INF00000e+000 +3.680300000e+002 +2.7956e+307 +1.5246e+307
% function evaluation | noise-free fitness - Fopt (1.426000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.257058242e+001 +3.257058242e+001 +4.683058242e+001 +4.683058242e+001 +7.2604e-002 +2.2357e+000
6 +3.147477635e+001 +3.147477635e+001 +4.573477635e+001 +4.573477635e+001 +2.4946e-001 +2.3276e+000
7 +2.780730074e+001 +2.780730074e+001 +4.206730074e+001 +4.206730074e+001 +1.7880e-001 +2.7014e+000
15 +2.575096772e+001 +2.575096772e+001 +4.001096772e+001 +4.001096772e+001 +1.0131e+000 +2.8236e+000
19 +2.464089791e+001 +2.464089791e+001 +3.890089791e+001 +3.890089791e+001 +9.8083e-001 +2.9378e+000
20 +2.227667966e+001 +2.227667966e+001 +3.653667966e+001 +3.653667966e+001 +2.9798e+000 +2.9743e+000
21 +6.840303360e+000 +6.840303360e+000 +2.110030336e+001 +2.110030336e+001 -1.8289e+000 +4.9989e+000
