% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.285000554e+001 +8.285000554e+001 +1.236300055e+002 +1.236300055e+002 +4.2552e-001 -9.6572e-001 +4.1067e+000 +4.4898e+000 -2.6377e+000 +4.3291e+000 -2.1844e+000 +4.7840e+000 +1.2271e+000 -3.4807e+000 -1.2488e+000 -2.9269e-001 -4.8226e+000 -7.8562e-001 -2.0581e+000 +4.5403e+000 -1.0748e+000 +1.2045e+000 +3.7974e+000 +1.0307e+000
55 +8.088858440e+001 +8.088858440e+001 +1.216685844e+002 +1.216685844e+002 -2.4171e-001 -2.6218e-001 +4.9605e+000 +4.8802e+000 -2.3986e+000 +5.2043e+000 -2.2735e+000 +2.7120e+000 +2.7821e+000 -4.7433e-001 -8.9585e-001 +1.1724e+000 -4.0642e+000 -2.1654e-001 -6.0225e-001 +3.9628e+000 -1.6518e+000 +1.8808e+000 +3.2875e+000 +2.4782e+000
112 +7.914993861e+001 +7.914993861e+001 +1.199299386e+002 +1.199299386e+002 +1.4514e+000 -1.1946e+000 +4.0850e+000 +5.5700e+000 -3.0043e+000 +2.5718e+000 -2.4123e+000 +3.3103e+000 +2.6629e+000 -1.8834e+000 -1.1997e+000 +1.4288e+000 -5.4928e+000 -1.0655e+000 -1.0872e+000 +3.0459e+000 -7.8755e-001 +1.6566e+000 +4.1255e+000 +2.4952e+000
144 +7.702450734e+001 +7.702450734e+001 +1.178045073e+002 +1.178045073e+002 +3.3678e-001 -2.0781e+000 +5.0328e+000 +4.5334e+000 -2.7331e+000 +4.0776e+000 -2.3247e+000 +4.3053e+000 +2.1873e+000 +2.6342e-001 -8.9134e-001 +1.0069e+000 -4.6516e+000 -3.2412e-001 -1.0304e-001 +3.5419e+000 -5.0158e-001 +1.3947e+000 +3.8368e+000 +1.9138e+000
254 +7.578006558e+001 +7.578006558e+001 +1.165600656e+002 +1.165600656e+002 +1.2028e+000 -1.0147e+000 +4.4709e+000 +4.1230e+000 -3.0161e+000 +2.4725e+000 -3.3358e+000 +3.8652e+000 +1.5061e+000 -2.1853e+000 +1.0408e-001 +1.7375e-001 -5.4479e+000 -8.4239e-001 +1.3696e+000 +3.1840e+000 -9.2400e-001 +3.5051e-001 +3.2214e+000 +2.8743e+000
300 +7.241257547e+001 +7.241257547e+001 +1.131925755e+002 +1.131925755e+002 +7.2507e-001 -9.6860e-001 +4.6305e+000 +4.1097e+000 -2.6211e+000 +3.6217e+000 +5.9929e-001 +4.1435e+000 +2.7384e+000 -5.8089e-001 -1.2354e+000 +2.5069e-001 -4.6603e+000 -5.5292e-001 -2.8120e-001 +1.9528e+000 -4.7912e-001 +1.4378e+000 +3.8292e+000 +1.7849e+000
407 +6.874651277e+001 +6.874651277e+001 +1.095265128e+002 +1.095265128e+002 +2.2059e-001 -1.4716e+000 +5.2124e+000 +4.1624e+000 -2.4349e+000 +3.6312e+000 -2.2019e+000 +4.2491e+000 +2.1578e+000 -2.2997e+000 -8.1240e-001 +8.2299e-001 -4.7535e+000 +3.2639e-002 -2.3666e-001 +1.4257e-001 +1.1768e+000 +1.1943e+000 +2.9271e+000 +2.4764e+000
562 +6.756749138e+001 +6.756749138e+001 +1.083474914e+002 +1.083474914e+002 +2.0198e-001 -4.6004e-001 +4.7868e+000 +3.6123e+000 -2.5566e+000 +2.7780e+000 -1.4781e+000 +4.3301e+000 +2.2200e+000 -1.8127e+000 -9.6498e-001 +1.2468e-001 -4.5646e+000 -8.3351e-001 +8.8864e-001 +4.9827e-001 -3.2694e-001 +1.2996e+000 +2.9620e+000 +2.3310e+000
659 +6.280568073e+001 +6.280568073e+001 +1.035856807e+002 +1.035856807e+002 +1.3349e-001 -1.0116e+000 +4.6630e+000 +3.3046e+000 -1.8615e+000 +2.7572e+000 -1.9247e+000 +4.2626e+000 +4.3937e+000 -1.6749e+000 -1.2393e+000 -5.4390e-001 -5.1044e+000 -1.5209e-001 +4.7893e-001 +2.3136e-001 +1.9179e-001 +1.2212e+000 +2.6916e+000 +2.0712e+000
715 +6.097694433e+001 +6.097694433e+001 +1.017569443e+002 +1.017569443e+002 -4.1770e-001 -1.5722e+000 +3.6246e+000 +3.8640e+000 -1.8624e+000 +2.4564e+000 -1.4699e+000 +3.3253e+000 +2.8486e+000 -9.9748e-001 -1.6546e+000 -1.0287e-001 -4.6045e+000 -1.5735e-001 +8.6561e-001 +1.2634e+000 +5.5508e-002 +1.9016e+000 +2.3311e+000 +2.1574e+000
