% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.118213232e+003 +2.118213232e+003 +2.148183232e+003 +2.148183232e+003 +1.5168e+000 -7.5544e+000 +2.8144e+000 -2.6229e+000 -5.1319e+000
2 +1.889269382e+003 +1.889269382e+003 +1.919239382e+003 +1.919239382e+003 +3.8621e+000 -3.3817e+000 +3.3074e+000 -1.5934e+000 -4.3733e+000
3 +9.246609470e+002 +9.246609470e+002 +9.546309470e+002 +9.546309470e+002 +5.9157e-001 -1.5213e+000 -3.1725e-001 -5.1529e+000 -4.7279e+000
25 +8.122653390e+002 +8.122653390e+002 +8.422353390e+002 +8.422353390e+002 -1.4422e+000 -6.1079e+000 -3.2952e+000 -4.0388e+000 -2.2857e+000
124 +7.678030975e+002 +7.678030975e+002 +7.977730975e+002 +7.977730975e+002 +2.0852e+000 -3.1733e+000 -1.5300e+000 -3.2953e+000 -4.3067e+000
139 +7.017590503e+002 +7.017590503e+002 +7.317290503e+002 +7.317290503e+002 +2.1968e+000 -3.7873e+000 -1.5874e+000 -4.1752e+000 -3.2123e+000
180 +6.741911373e+002 +6.741911373e+002 +7.041611373e+002 +7.041611373e+002 +1.9955e+000 -4.0414e+000 -3.1903e+000 -3.2429e+000 -3.7675e+000
202 +5.354092965e+002 +5.354092965e+002 +5.653792965e+002 +5.653792965e+002 +1.6642e+000 -4.0312e+000 -3.2951e+000 -3.5806e+000 -2.4483e+000
262 +4.950933379e+002 +4.950933379e+002 +5.250633379e+002 +5.250633379e+002 +2.1722e+000 -4.7236e+000 -2.6728e+000 -3.4102e+000 -1.9386e+000
292 +4.718153480e+002 +4.718153480e+002 +5.017853480e+002 +5.017853480e+002 +2.0049e+000 -4.0561e+000 -2.6814e+000 -3.5654e+000 -1.6613e+000
299 +4.519167905e+002 +4.519167905e+002 +4.818867905e+002 +4.818867905e+002 +1.8314e+000 -4.8645e+000 -2.9686e+000 -3.5006e+000 -1.6588e+000
314 +4.279371558e+002 +4.279371558e+002 +4.579071558e+002 +4.579071558e+002 +1.6766e+000 -4.4170e+000 -3.5319e+000 -3.7079e+000 -1.2758e+000
319 +3.483040937e+002 +3.483040937e+002 +3.782740937e+002 +3.782740937e+002 +1.5843e+000 -3.4472e+000 -3.5304e+000 -2.7086e+000 -6.8959e-001
339 +3.079622930e+002 +3.079622930e+002 +3.379322930e+002 +3.379322930e+002 +1.7218e+000 -4.2721e+000 -3.3113e+000 -3.1956e+000 -2.3766e-001
347 +3.017467595e+002 +3.017467595e+002 +3.317167595e+002 +3.317167595e+002 +1.6602e+000 -5.1607e+000 -3.5700e+000 -3.3104e+000 +8.7349e-001
365 +2.946937668e+002 +2.946937668e+002 +3.246637668e+002 +3.246637668e+002 +1.7342e+000 -4.1648e+000 -3.1315e+000 -2.8548e+000 +9.9592e-002
378 +2.756392614e+002 +2.756392614e+002 +3.056092614e+002 +3.056092614e+002 +1.6341e+000 -4.3531e+000 -3.5904e+000 -3.3996e+000 +8.1204e-001
383 +2.684161701e+002 +2.684161701e+002 +2.983861701e+002 +2.983861701e+002 +1.6455e+000 -3.8174e+000 -3.2179e+000 -2.4195e+000 +2.8393e-001
404 +2.274643210e+002 +2.274643210e+002 +2.574343210e+002 +2.574343210e+002 +1.5771e+000 -3.8927e+000 -3.6819e+000 -2.8702e+000 +3.9296e-001
454 +2.044071847e+002 +2.044071847e+002 +2.343771847e+002 +2.343771847e+002 +1.7622e+000 -4.2950e+000 -3.5437e+000 -2.6248e+000 +7.7294e-001
456 +1.722124050e+002 +1.722124050e+002 +2.021824050e+002 +2.021824050e+002 +1.6051e+000 -3.6165e+000 -3.5068e+000 -2.1484e+000 +1.3700e+000
487 +1.672130119e+002 +1.672130119e+002 +1.971830119e+002 +1.971830119e+002 +1.3874e+000 -3.4573e+000 -3.5672e+000 -2.8019e+000 +1.4257e+000
489 +1.619228625e+002 +1.619228625e+002 +1.918928625e+002 +1.918928625e+002 +1.7476e+000 -3.8510e+000 -3.5854e+000 -2.3427e+000 +1.2129e+000
498 +1.460998398e+002 +1.460998398e+002 +1.760698398e+002 +1.760698398e+002 +1.9663e+000 -3.5667e+000 -3.7263e+000 -2.3390e+000 +1.2649e+000
506 +1.426551153e+002 +1.426551153e+002 +1.726251153e+002 +1.726251153e+002 +1.6077e+000 -3.2689e+000 -3.5253e+000 -2.5109e+000 +1.4719e+000
515 +1.220557431e+002 +1.220557431e+002 +1.520257431e+002 +1.520257431e+002 +1.6341e+000 -3.1047e+000 -3.6038e+000 -2.4348e+000 +1.6792e+000
532 +1.190841661e+002 +1.190841661e+002 +1.490541661e+002 +1.490541661e+002 +1.6296e+000 -3.2889e+000 -3.7229e+000 -2.5312e+000 +1.7068e+000
556 +1.171204431e+002 +1.171204431e+002 +1.470904431e+002 +1.470904431e+002 +1.5878e+000 -3.5012e+000 -3.6509e+000 -2.2875e+000 +1.6749e+000
559 +1.041461894e+002 +1.041461894e+002 +1.341161894e+002 +1.341161894e+002 +1.4812e+000 -3.1112e+000 -3.6399e+000 -2.2394e+000 +1.7293e+000
575 +9.889691673e+001 +9.889691673e+001 +1.288669167e+002 +1.288669167e+002 +1.6224e+000 -3.2845e+000 -3.9627e+000 -1.9354e+000 +1.8594e+000
583 +9.379767729e+001 +9.379767729e+001 +1.237676773e+002 +1.237676773e+002 +1.5682e+000 -3.2528e+000 -3.7842e+000 -2.3441e+000 +1.7471e+000
595 +5.513641959e+001 +5.513641959e+001 +8.510641959e+001 +8.510641959e+001 +1.6551e+000 -3.2501e+000 -3.9105e+000 -2.0259e+000 +2.3257e+000
649 +5.072197784e+001 +5.072197784e+001 +8.069197784e+001 +8.069197784e+001 +1.3938e+000 -3.3971e+000 -3.9876e+000 -2.2566e+000 +2.4703e+000
671 +4.014302803e+001 +4.014302803e+001 +7.011302803e+001 +7.011302803e+001 +1.4524e+000 -3.2993e+000 -3.9899e+000 -2.1769e+000 +2.1977e+000
688 +3.451920932e+001 +3.451920932e+001 +6.448920932e+001 +6.448920932e+001 +1.5538e+000 -3.3401e+000 -4.0160e+000 -2.1741e+000 +2.2666e+000
