% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.089092327e+002 +1.089092327e+002 -8.910907673e+002 -8.910907673e+002 -3.4740e+000 +3.7009e+000 -4.2870e-001 -9.0911e+000 +3.4972e+000 +7.0082e+000 +3.3138e+000 +1.9712e+000 -3.3636e-001 +1.8173e+000 +2.2119e+000 -2.2933e-001 +2.2881e+000 +3.8582e+000 -1.4891e+000 -6.3220e+000 +1.1837e+000 -4.5347e-001 +5.3269e-001 -1.8069e+000
3 +8.881439343e+001 +8.881439343e+001 -9.111856066e+002 -9.111856066e+002 -2.0183e+000 +4.1403e+000 -2.3188e+000 -4.0309e+000 +3.1534e+000 -5.0205e+000 +6.4706e+000 +2.7532e+000 +9.9968e-002 -2.0971e+000 -2.1579e+000 -1.0919e+000 +5.3067e+000 +6.1918e-001 -2.5500e+000 -4.3414e+000 -4.6992e+000 -2.3641e+000 -1.6249e+000 +3.6141e+000
35 +8.652285328e+001 +8.652285328e+001 -9.134771467e+002 -9.134771467e+002 -2.0384e-001 +3.6226e+000 -1.3371e-001 -1.6675e-001 +3.7509e+000 +3.6134e+000 +4.1333e+000 +1.1078e+000 +2.3629e+000 +2.4587e+000 +1.6319e+000 -2.3138e+000 -1.2470e-001 -4.5164e+000 -1.7005e+000 -3.2716e+000 -1.4221e-001 -4.4438e+000 -1.0636e+000 +5.5904e+000
55 +8.460694732e+001 +8.460694732e+001 -9.153930527e+002 -9.153930527e+002 -3.1441e+000 +1.5782e+000 +2.6073e-001 -2.8321e+000 +4.8005e+000 +3.9500e+000 +2.0212e+000 -1.9787e+000 +1.8417e+000 +7.1810e-002 +1.6868e+000 -3.7030e+000 +1.7219e+000 +2.2744e+000 +1.1586e+000 -4.3677e+000 -2.9880e+000 -2.3172e+000 -1.6782e+000 +5.2271e+000
152 +8.279728765e+001 +8.279728765e+001 -9.172027124e+002 -9.172027124e+002 -4.3803e+000 +2.6119e+000 +1.9176e+000 -3.8992e+000 +3.2030e+000 +9.7078e-001 +4.8122e+000 +1.5424e+000 -9.2456e-001 +8.0965e-001 -9.0255e-001 -2.0516e+000 -1.7720e-001 +1.2350e+000 -2.2105e+000 -2.7298e+000 -2.4803e-001 -3.9172e+000 -2.0202e+000 +3.1531e+000
302 +7.917942728e+001 +7.917942728e+001 -9.208205727e+002 -9.208205727e+002 -2.3201e+000 -1.7109e+000 +1.3680e+000 -2.6170e+000 +3.3712e+000 +6.4767e-002 +3.1874e+000 +1.2859e+000 -1.3015e-001 -2.0610e+000 +1.3162e+000 -2.1364e+000 +1.3790e+000 +1.0425e+000 -4.8116e+000 -5.0740e+000 -7.6467e-001 +1.4310e+000 +9.5252e-001 +4.5287e+000
366 +7.741872475e+001 +7.741872475e+001 -9.225812752e+002 -9.225812752e+002 -2.3277e+000 +4.9558e-001 -1.6932e+000 -1.7032e+000 +2.6802e+000 +2.5857e-001 +1.7364e+000 +2.1973e+000 -1.2285e+000 +1.1110e+000 +1.4050e+000 -3.1313e+000 -1.5213e+000 +5.2228e-001 +9.0601e-001 -3.9409e+000 +3.5588e+000 +1.8166e+000 +1.8451e+000 +3.4989e+000
514 +7.535933504e+001 +7.535933504e+001 -9.246406650e+002 -9.246406650e+002 -2.2324e+000 +2.3593e+000 +5.0662e+000 -2.7611e+000 +2.4575e+000 +1.9457e+000 +3.4567e+000 +4.6764e+000 +7.4800e-001 -1.4498e+000 +9.2074e-001 -4.3481e+000 -2.1534e+000 +2.9464e+000 -3.1104e+000 -1.4133e+000 -3.0912e+000 +2.9549e+000 -2.3895e+000 +3.1512e+000
748 +7.182906700e+001 +7.182906700e+001 -9.281709330e+002 -9.281709330e+002 -3.2679e+000 -1.3981e+000 +2.2605e+000 -3.2070e+000 +7.2756e-001 -5.4428e-001 -1.3588e+000 -3.3995e+000 +1.3656e+000 -3.2119e-001 +4.8504e+000 -2.4822e+000 -3.1169e+000 -3.1516e-001 -7.8292e-001 -5.0371e+000 +5.9990e+000 -1.0041e+000 -2.4445e+000 -6.7931e-001
821 +6.302690849e+001 +6.302690849e+001 -9.369730915e+002 -9.369730915e+002 -2.8092e+000 -1.1213e+000 +1.8489e+000 -2.1346e+000 +2.7203e+000 +8.7643e-001 +2.4789e+000 +1.5296e+000 +3.8214e-001 -7.7332e-001 +3.2436e+000 -1.7426e+000 -2.0210e+000 +1.3784e+000 -1.6038e+000 -3.6263e+000 -1.9623e+000 +2.8412e+000 -1.5126e-001 +2.7243e+000
988 +5.777302274e+001 +5.777302274e+001 -9.422269773e+002 -9.422269773e+002 -3.2031e+000 -6.3606e-001 -1.4375e-001 -4.6363e-003 +2.6238e+000 -3.1208e-001 +1.9993e+000 +3.1092e+000 +4.0935e-001 +2.3139e+000 +9.2425e-001 -4.0921e+000 -1.8534e+000 +2.5249e+000 -7.9696e-001 -3.4351e+000 -1.6646e+000 +1.5115e+000 -1.6041e+000 +1.6612e+000
1103 +4.965605520e+001 +4.965605520e+001 -9.503439448e+002 -9.503439448e+002 -2.9444e+000 -1.4408e+000 +1.6467e+000 -1.0764e+000 +2.6242e+000 +1.0930e+000 +1.8075e+000 +2.4424e+000 +1.4604e+000 +1.0371e+000 +3.3449e+000 -4.9436e+000 -2.1148e+000 +1.7976e-001 -1.7137e+000 -3.5637e+000 -1.3933e+000 +1.8173e+000 -1.3022e+000 +2.2767e+000
1187 +4.724559975e+001 +4.724559975e+001 -9.527544002e+002 -9.527544002e+002 -3.1736e+000 -1.1518e+000 +1.5388e+000 -1.3419e+000 +7.7275e-001 +6.2662e-001 +3.5889e+000 +1.0018e+000 +3.2443e-001 +1.4852e+000 +1.8140e+000 -3.8743e+000 -9.7503e-001 +9.8127e-001 -2.3654e+000 -3.1425e+000 -2.2310e+000 +1.1808e+000 -3.7390e-001 +2.7915e+000
1255 +4.401217980e+001 +4.401217980e+001 -9.559878202e+002 -9.559878202e+002 -3.5761e+000 -2.2753e+000 +9.1748e-001 -1.4883e+000 +1.8243e+000 +8.8188e-001 +2.7799e+000 +1.5423e+000 +1.0033e+000 +1.1062e+000 +3.5243e+000 -4.3052e+000 -1.1162e+000 +1.3316e+000 -1.7843e+000 -4.4034e+000 -1.1300e+000 +2.2953e+000 -1.4052e+000 +2.0142e+000
1467 +3.734351914e+001 +3.734351914e+001 -9.626564809e+002 -9.626564809e+002 -3.1491e+000 -1.7860e+000 +1.0355e+000 -1.7262e+000 +2.2390e+000 +8.5967e-001 +1.9786e+000 +1.8604e+000 +1.6380e+000 +1.5123e+000 +2.7788e+000 -4.2420e+000 -1.7225e+000 +1.0026e+000 -1.9441e+000 -4.4383e+000 -2.3315e+000 +1.5469e+000 -1.1297e+000 +2.4260e+000
